title,location,date,event_type
Tangopostale,"Toulouse, France","Friday, 28 June 2019 - Sunday, 07 July 2019",Past Tango Festival
Midsummer Tango Fusion,"Tampere, Finland","Friday, 28 June 2019 - Sunday, 30 June 2019",Past Tango Marathon
Kyiv Tango Marathon,"Kyiv, Ukraine","Friday, 28 June 2019 - Sunday, 30 June 2019",Past Tango Marathon
WEEK END SALENTO MILONGUERO 28 29 30 JUNE 2019,"Lecce, Italy","Friday, 28 June 2019 - Sunday, 30 June 2019",Past Tango Marathon
la mirada 2nd encuentro milonguero,"Poznan, Poland","Friday, 28 June 2019 - Sunday, 30 June 2019",Past Tango Encuentro
XII Tango Festival Alegria en Brzeg,"Brzeg, Poland","Thursday, 27 June 2019 - Sunday, 30 June 2019",Past Tango Festival
Festival Neuchatel Tango,"Neuchâtel, Switzerland","Thursday, 27 June 2019 - Sunday, 30 June 2019",Past Tango Festival
Pietragrande Tango Marathon 27 -30 June 2019 - 3 edition,"Caminia, Italy","Thursday, 27 June 2019 - Sunday, 30 June 2019",Past Tango Marathon
Bergen Embrace III Tres esquinas,"Bergen, Norway","Thursday, 27 June 2019 - Tuesday, 02 July 2019",Past Tango Encuentro
Catania Summer Tango Week 2019,"Catania, Italy","Tuesday, 25 June 2019 - Sunday, 30 June 2019",Past Tango Festival
Cheltenham International Tango Festival,"Cheltenham, United Kingdom","Friday, 21 June 2019 - Sunday, 23 June 2019",Past Tango Festival
La Marathonguera 4,"Ameglia, Italy","Friday, 21 June 2019 - Sunday, 23 June 2019",Past Tango Marathon
NeoTangoRave19,"Bremen, Germany","Friday, 21 June 2019 - Sunday, 23 June 2019",Past Tango Marathon
Madrid Tango Marathon TangoMAD 2nd edition,"Madrid, Spain","Friday, 21 June 2019 - Sunday, 23 June 2019",Past Tango Marathon
Algarve Tango Marathon,"Faro, Portugal","Friday, 21 June 2019 - Sunday, 23 June 2019",Past Tango Marathon
Pequena 4 Festivalito Milonguero,"Saarbrücken, Germany","Friday, 21 June 2019 - Sunday, 23 June 2019",Past Tango Encuentro
PORQUEROLLES TANGO MEETING,"Hyères, France","Friday, 21 June 2019 - Sunday, 23 June 2019",Past Tango Weekend / Festivalito
Midsummer tango weekend,"Vikingstad, Sweden","Friday, 21 June 2019 - Sunday, 23 June 2019",Past Tango Weekend / Festivalito
Juno milonga for all on Friday,"Zagreb, Croatia","Friday, 21 June 2019 - Saturday, 22 June 2019",Past Uncategorised Tango Event
Limouzi Tango Festival,"Limoges, France","Thursday, 20 June 2019 - Monday, 24 June 2019",Past Tango Festival
The Brussels Tango Festival,"Brussels, Belgium","Thursday, 20 June 2019 - Monday, 24 June 2019",Past Tango Festival
SECOND ANNUAL WORKSHOPS AND MILONGAS,"València, Spain","Thursday, 20 June 2019 - Sunday, 23 June 2019",Past Tango Festival
The Brussels Tango Festival 2019,"Brussels, Belgium","Thursday, 20 June 2019 - Tuesday, 25 June 2019",Past Tango Festival
Bohemian Tango by Alchemie- 2019,"Prague, Czechia","Thursday, 20 June 2019 - Monday, 24 June 2019",Past Tango Festival
Ithaca Tango Marathon,"Ithaca, United States","Thursday, 20 June 2019 - Monday, 24 June 2019",Past Tango Marathon
Bohemian Tango by Alchemie,"Prague, Czechia","Thursday, 20 June 2019 - Monday, 24 June 2019",Past Tango Marathon
