title,location,date,event_type
La Sonrisa Tango Summer Time,"Novi Sad, Serbia","Saturday, 15 June 2019 - Sunday, 16 June 2019",Past Tango Weekend / Festivalito
5th Syros Tango festival,"Ermoupoli, Greece","Friday, 14 June 2019 - Monday, 17 June 2019",Past Tango Festival
Syros Tango Festival,"Syros, Greece","Friday, 14 June 2019 - Monday, 17 June 2019",Past Tango Festival
Una Emocion Tango Festival,"Barcelona, Spain","Friday, 14 June 2019 - Sunday, 16 June 2019",Past Tango Festival
Tango Marathon Pamplona Summer,"Pamplona, Spain","Friday, 14 June 2019 - Sunday, 16 June 2019",Past Tango Marathon
International L'Aquila Tango Marathon 2019,"Fonte Cerreto, Italy","Friday, 14 June 2019 - Sunday, 16 June 2019",Past Tango Marathon
Saveurs de Tango,"Villevieille, France","Friday, 14 June 2019 - Sunday, 16 June 2019",Past Tango Encuentro
Toronto Tango Festival,"Toronto, Canada","Thursday, 13 June 2019 - Sunday, 16 June 2019",Past Tango Festival
BurningTango,"McCloud, United States","Thursday, 13 June 2019 - Sunday, 16 June 2019",Past Tango Festival
15th Annual Toronto Tango Festival 2019,"Toronto, Canada","Thursday, 13 June 2019 - Sunday, 16 June 2019",Past Tango Festival
New Orleans Tango Festival,"New Orleans, United States","Thursday, 13 June 2019 - Sunday, 16 June 2019",Past Tango Festival
Strasbourg Tango Festival,"Strasbourg, France","Thursday, 13 June 2019 - Sunday, 16 June 2019",Past Tango Festival
Strastango Tango Festival,"Strasbourg, France","Thursday, 13 June 2019 - Sunday, 16 June 2019",Past Tango Festival
Porto  Neo and Classic Tango Meeting,"Porto, Portugal","Thursday, 13 June 2019 - Monday, 17 June 2019",Past Tango Marathon
Strawberry Tango Marathon,"Łódź, Poland","Thursday, 13 June 2019 - Sunday, 16 June 2019",Past Tango Marathon
Milonguero Summer,"Vilnius, Lithuania","Thursday, 13 June 2019 - Monday, 17 June 2019",Past Tango Marathon
EPIC Tango Marathon - in Stockholm,"Stockholm, Sweden","Thursday, 13 June 2019 - Monday, 17 June 2019",Past Tango Marathon
Iasi Festivalito Verano 6th Edition,"Iasi, Romania","Thursday, 13 June 2019 - Sunday, 16 June 2019",Past Tango Weekend / Festivalito
Istanbul Tango Fiesta,"Istanbul, Turkey","Wednesday, 12 June 2019 - Monday, 17 June 2019",Past Tango Festival
The Official Dutch International Tangoweek,"Amersfoort, Netherlands","Saturday, 08 June 2019 - Monday, 10 June 2019",Past Tango Festival
Noches Portenas 4 Marathon,"Warsaw, Poland","Friday, 07 June 2019 - Sunday, 09 June 2019",Past Tango Marathon
TANGO AFFAIR Kuala Lumpur,"Kuala Lumpur, Malaysia","Friday, 07 June 2019 - Sunday, 09 June 2019",Past Tango Marathon
Night and Day 2019,"Kyiv, Ukraine","Friday, 07 June 2019 - Sunday, 09 June 2019",Past Tango Marathon
Entre Suenos Tango Marathon 7.8.9 June 2019 Athens - Greece,"Athina, Greece","Friday, 07 June 2019 - Monday, 10 June 2019",Past Tango Marathon
7 Reunion Milonguera in Venezia,"Venice, Italy","Friday, 07 June 2019 - Sunday, 09 June 2019",Past Tango Encuentro
Tango Aqui,"Queyssac, France","Friday, 07 June 2019 - Monday, 10 June 2019",Past Tango Weekend / Festivalito
Orquesta Romantica Milonguera in Orangerie Fulda,"Fulda, Germany","Friday, 07 June 2019 - Saturday, 08 June 2019",Past Tango Ball / Special Milonga
Tango en Punta VIENNA,"Vienna, Austria","Thursday, 06 June 2019 - Monday, 10 June 2019",Past Tango Festival
Karlsruhe International Tango Festival,"Karlsruhe, Germany","Thursday, 06 June 2019 - Monday, 10 June 2019",Past Tango Festival
ANTWERPEN TANGO FESTIVAL,"Antwerpen, Belgium","Thursday, 06 June 2019 - Monday, 10 June 2019",Past Tango Festival
ANTWERPEN TANGO FESTIVAL 2019,"Antwerpen, Belgium","Thursday, 06 June 2019 - Monday, 10 June 2019",Past Tango Festival
Tecaj argentinskog tanga za pocetnike cetvrtkom,"Zagreb, Croatia","Thursday, 06 June 2019 - Friday, 07 June 2019",Past Tango Seminar / Workshops
BERLIN OPEN Tango Contest,"Berlin, Germany","Thursday, 06 June 2019 - Sunday, 09 June 2019",Past Uncategorised Tango Event
Embrace Berlin,"Berlin, Germany","Tuesday, 04 June 2019 - Monday, 10 June 2019",Past Tango Festival
HORACIO GODOY and CECILIA BERRA workshops at embrace berlin,"Berlin, Germany","Tuesday, 04 June 2019 - Sunday, 09 June 2019",Past Tango Seminar / Workshops
La Matilde 12h tango non stop,"Reggio Emilia, Italy","Saturday, 01 June 2019 - Sunday, 02 June 2019",Past Tango Marathon
"Juno milonga for all - nuevo, neo and traditional","Zagreb, Croatia","Saturday, 01 June 2019 - Sunday, 02 June 2019",Past Uncategorised Tango Event
2 Festival Verde Mar,"Sesto Calende, Italy","Friday, 31 May 2019 - Sunday, 02 June 2019",Past Tango Festival
Tango Marathon Nantes,"Nantes, France","Friday, 31 May 2019 - Sunday, 02 June 2019",Past Tango Marathon
"Seminar arrastrea, barride te praktika svakog petka za sve","Zagreb, Croatia","Friday, 31 May 2019 - Friday, 21 June 2019",Past Uncategorised Tango Event
Seminar arrastre - barrida and practica every friday for all,"Zagreb, Croatia","Friday, 31 May 2019 - Friday, 21 June 2019",Past Uncategorised Tango Event
Tropea TANGO MARE Festival 2019 - VI Edition,"Ricadi, Italy","Thursday, 30 May 2019 - Sunday, 02 June 2019",Past Tango Festival
Tango Malena Festival  - FunHouse Timisoara,"Timișoara, Romania","Thursday, 30 May 2019 - Monday, 03 June 2019",Past Tango Festival
CORSICA TANGO MEETING,"Lucciana, France","Thursday, 30 May 2019 - Wednesday, 05 June 2019",Past Tango Weekend / Festivalito
Alegria Mini Tango Festival,"New Britain, United States","Thursday, 30 May 2019 - Sunday, 02 June 2019",Past Tango Weekend / Festivalito
Lisbon Tango Festival,"Lisboa, Portugal","Wednesday, 29 May 2019 - Sunday, 02 June 2019",Past Tango Festival
Abrazo Tango Metz Festival 4,"Metz, France","Wednesday, 29 May 2019 - Sunday, 02 June 2019",Past Tango Festival
Israel Lo de Silvia Tango Festival 2019  May 29 - June 1,"Tel Aviv-Yafo, Israel","Wednesday, 29 May 2019 - Saturday, 01 June 2019",Past Tango Festival
England International Tango Festival,"Tonbridge, United Kingdom","Saturday, 25 May 2019 - Monday, 27 May 2019",Past Tango Festival
3ra Edicion de TANGO a FUEGO LENTO,"Trigueros, Spain","Saturday, 25 May 2019 - Saturday, 25 May 2019",Past Tango Ball / Special Milonga
MayDayStay PlayMilonga - NuevoNeo milonga for all,"Zagreb, Croatia","Saturday, 25 May 2019 - Sunday, 26 May 2019",Past Uncategorised Tango Event
Salt Lake Tango Fest 2019 - Flor de lino,"Salt Lake City, United States","Friday, 24 May 2019 - Tuesday, 28 May 2019",Past Tango Festival
9th Annual Philly Tango Fest,"Philadelphia, United States","Friday, 24 May 2019 - Monday, 27 May 2019",Past Tango Festival
"Moscow Tango Holidays,  Spring  edition","Moscow, Russia","Friday, 24 May 2019 - Sunday, 26 May 2019",Past Tango Festival
FESTIVAL TANGENTE 2019,"Narón, Spain","Friday, 24 May 2019 - Sunday, 26 May 2019",Past Tango Festival
Bendito Tango Marathon VI,"Pielenhofen, Germany","Friday, 24 May 2019 - Sunday, 26 May 2019",Past Tango Marathon
LOCA 26219 TangOH Marathon with Flavor,"Auburndale, United States","Friday, 24 May 2019 - Sunday, 26 May 2019",Past Tango Marathon
24-25-26 Maggio Tecnica para mujeres con Mariana Montes,"Catania, Italy","Friday, 24 May 2019 - Sunday, 26 May 2019",Past Tango Seminar / Workshops
Seminar - Sazetak TangoHoda  i praktika,"Zagreb, Croatia","Friday, 24 May 2019 - Saturday, 25 May 2019",Past Uncategorised Tango Event
Seminars  Summary of tango walk and practica,"Zagreb, Croatia","Friday, 24 May 2019 - Saturday, 25 May 2019",Past Uncategorised Tango Event
Tango Malena Festival,"Timisoara, Romania","Thursday, 23 May 2019 - Monday, 27 May 2019",Past Tango Festival
ROCKIT TANGO WEEKEND,"Chisinau, Moldova","Thursday, 23 May 2019 - Monday, 27 May 2019",Past Tango Festival
3rd Caliente Tango Marathon ANTALYA,"Antalya, Turkey","Thursday, 23 May 2019 - Monday, 27 May 2019",Past Tango Marathon
SPQR Tango Marathon,"Rome, Italy","Thursday, 23 May 2019 - Sunday, 26 May 2019",Past Tango Marathon
Azores Tango Marathon,"Praia da Vitória, Portugal","Thursday, 23 May 2019 - Sunday, 26 May 2019",Past Tango Marathon
The ENDLESS SUMMER TANGO Marathon - 6th Edition - LA,"Los Angeles, United States","Thursday, 23 May 2019 - Monday, 27 May 2019",Past Tango Marathon
SPQR Tango Marathon Roma,"Roma, Italy","Thursday, 23 May 2019 - Monday, 27 May 2019",Past Tango Marathon
Argentine tango Technique for Followeres,"Zagreb, Croatia","Thursday, 23 May 2019 - Friday, 24 May 2019",Past Tango Seminar / Workshops
"Zenska tehnika argentinskog tanga, tehnika za followere","Zagreb, Croatia","Thursday, 23 May 2019 - Friday, 24 May 2019",Past Tango Seminar / Workshops
Crimea Tango Marathon Sudak,"Sudak, Ukraine","Wednesday, 22 May 2019 - Tuesday, 28 May 2019",Past Tango Marathon
ArgFoodFest Day 2 Featuring Tanghetto,"Athens, United States","Wednesday, 22 May 2019 - Thursday, 23 May 2019",Past Uncategorised Tango Event
La Romantica Milonguera al Tango Club Calesita,"Montesilvano, Italy","Saturday, 18 May 2019 - Monday, 20 May 2019",Past Tango Weekend / Festivalito
Crown Jewel of Tango Festivalito Eleonora Kalganova friends,"Hollywood, United States","Friday, 17 May 2019 - Sunday, 19 May 2019",Past Tango Festival
Vienna Calling Tango Marathon 2019 Spring Edition,"Wien, Austria","Friday, 17 May 2019 - Monday, 20 May 2019",Past Tango Marathon
Magic Castle Tango Marathon,"Wałbrzych, Poland","Friday, 17 May 2019 - Sunday, 19 May 2019",Past Tango Marathon
RioGrande Tango Marathon,"Pskov, Russia","Friday, 17 May 2019 - Sunday, 19 May 2019",Past Tango Marathon
Dias de Hungria Tango Retreat,"Budapest, Hungary","Friday, 17 May 2019 - Sunday, 19 May 2019",Past Tango Marathon
3rd Tango Unchained festival La Viruta edition,"Athina, Greece","Thursday, 16 May 2019 - Sunday, 19 May 2019",Past Tango Festival
V Tango Meeting Caserta  2019 May 16-19,"Caserta, Italy","Thursday, 16 May 2019 - Monday, 20 May 2019",Past Tango Festival
Tesoromio Tango Weekend,"Kyiv, Ukraine","Thursday, 16 May 2019 - Sunday, 19 May 2019",Past Tango Weekend / Festivalito
MILONGA PASIONAL on the terrace of Polis art cafe in Athens,"Athens, Greece","Saturday, 11 May 2019 - Saturday, 12 October 2019",Past Tango Ball / Special Milonga
MayDayStay PlayMilonga milonga for all,"Zagreb, Croatia","Saturday, 11 May 2019 - Sunday, 12 May 2019",Past Uncategorised Tango Event
Kipish Odessa 10 - 12th of May 2019 Ukraine,"Odesa, Ukraine","Friday, 10 May 2019 - Sunday, 12 May 2019",Past Tango Festival
Galicia Tango en Primavera,"Portonovo, Spain","Friday, 10 May 2019 - Sunday, 12 May 2019",Past Tango Weekend / Festivalito
