title,location,date,event_type
6th Benidorm Tango Festival and Marathon,"Benidorm, Spain","Wednesday, 29 April 2020 - Sunday, 03 May 2020",Past Tango Festival
Tango argentino i rijec  YouTube Live,"Zagreb, Croatia","Monday, 27 April 2020 - Tuesday, 28 April 2020",Past Uncategorised Tango Event
Festival Internacional Ataque Tango BENIDORM,"Benidorm, Spain","Wednesday, 22 April 2020 - Sunday, 26 April 2020",Past Tango Festival
15th International Porto Tango Festival,"Porto, Portugal","Wednesday, 22 April 2020 - Sunday, 26 April 2020",Past Tango Festival
COSTA BARCELONA SPA TANGO,"Malgrat de Mar, Spain","Sunday, 19 April 2020 - Saturday, 25 April 2020",Past Tango Weekend / Festivalito
VIII Oxford International Tango Festival,"Oxford, United Kingdom","Friday, 17 April 2020 - Sunday, 19 April 2020",Past Tango Festival
"Que noches 17,18 y 19 de Abril","Puerto de la Cruz, Spain","Friday, 17 April 2020 - Sunday, 19 April 2020",Past Tango Weekend / Festivalito
TangoNeta Napoli,"Napoli, Italy","Thursday, 16 April 2020 - Sunday, 19 April 2020",Past Tango Encuentro
Milonga Holiday at Lake Chiemsee in Bavaria,"Rimsting, Germany","Tuesday, 14 April 2020 - Sunday, 19 April 2020",Past Tango Seminar / Workshops
Easter Tango Holidays Lago Maggiore,"Pallanza, Italy","Sunday, 12 April 2020 - Saturday, 18 April 2020",Past Tango Seminar / Workshops
La Sonrisa Encuentro Milonguero,"Reggio Emilia, Italy","Saturday, 11 April 2020 - Monday, 13 April 2020",Past Tango Encuentro
Pasqua Tango 10-13 Apr 2020 Monticelli Terme -Parma- Italy,"Monticelli Terme, Italy","Friday, 10 April 2020 - Monday, 13 April 2020",Past Tango Festival
Trasnochando Tango Festival Berlin,"Berlin, Germany","Friday, 10 April 2020 - Monday, 13 April 2020",Past Tango Festival
MilonGato Tango Festival 2020 - April 10-12,"Kharkiv, Ukraine","Friday, 10 April 2020 - Sunday, 12 April 2020",Past Tango Festival
Roma Neotango Marathon,"Roma, Italy","Friday, 10 April 2020 - Monday, 13 April 2020",Past Tango Marathon
CANCELLED -Victoria Tango Marathon 2020,"Victoria, Canada","Friday, 10 April 2020 - Monday, 13 April 2020",Past Tango Marathon
PORQUEROLLES TANGO,"Hyères, France","Friday, 10 April 2020 - Tuesday, 14 April 2020",Past Tango Weekend / Festivalito
ATUSA Argentine Tango USA Official Championship and Festival,"Burlingame, United States","Thursday, 09 April 2020 - Sunday, 12 April 2020",Past Tango Festival
OsterTango 2020,"Basel, Switzerland","Thursday, 09 April 2020 - Monday, 13 April 2020",Past Tango Festival
TABOE2BE - EASTER,"Veckenstedt, Germany","Thursday, 09 April 2020 - Monday, 13 April 2020",Past Tango Weekend / Festivalito
Easter Albir Festivalito with world tango pista champions,"L'Albir, Spain","Thursday, 09 April 2020 - Sunday, 12 April 2020",Past Tango Weekend / Festivalito
Easter Tango,"L'Albir, Spain","Thursday, 09 April 2020 - Sunday, 12 April 2020",Past Tango Weekend / Festivalito
Roulotte Tango live am Zoo Frankfurt,"Frankfurt am Main, Germany","Sunday, 05 April 2020 - Sunday, 05 April 2020",Past Tango Ball / Special Milonga
Tango Journey to Buenos Aires 2020,"Buenos Aires, Argentina","Saturday, 04 April 2020 - Saturday, 18 April 2020",Past Uncategorised Tango Event
APERTURA TANGO FESTIVAL - CANCELLED,"İstanbul, Turkey","Thursday, 02 April 2020 - Monday, 06 April 2020",Past Tango Festival
Frankfurt Milonguero Weekend,"Frankfurt am Main, Germany","Friday, 27 March 2020 - Sunday, 29 March 2020",Past Tango Festival
Warsaw Vinyl Tango Marathon Vynilmania,"Warsaw, Poland","Friday, 27 March 2020 - Sunday, 29 March 2020",Past Tango Marathon
Cairo Tango Encuentro,"Cairo, Egypt","Thursday, 26 March 2020 - Sunday, 29 March 2020",Past Tango Encuentro
Tango beginners class,"Kabelvåg, Norway","Sunday, 22 March 2020 - Monday, 23 March 2020",Past Tango Seminar / Workshops
Les Envolees Tangueras VII Biarritz Tango Marathon,"Biarritz, France","Friday, 20 March 2020 - Sunday, 22 March 2020",Past Tango Marathon
4. Tangomarathon Karlsruhe,"Karlsruhe, Germany","Friday, 20 March 2020 - Sunday, 22 March 2020",Past Tango Marathon
Women's Tango Yoga Retreat,"Barcelona, Spain","Friday, 20 March 2020 - Sunday, 22 March 2020",Past Tango Seminar / Workshops
Encuentro Tango Argentino - Chantal Forgues y Salim Berrada,"Casablanca, Morocco","Thursday, 19 March 2020 - Sunday, 22 March 2020",Past Tango Encuentro
Radionica zenske tehnike - Workshop of women's technique,"Zagreb, Croatia","Saturday, 14 March 2020 - Sunday, 15 March 2020",Past Tango Seminar / Workshops
Discover Culture and Tango- Around Vietnam in 14 milongas,"Hanoi, Vietnam","Friday, 13 March 2020 - Thursday, 26 March 2020",Past Tango Marathon
CANCELED PiazzollaFest 2020,"Zagreb, Croatia","Wednesday, 11 March 2020 - Sunday, 15 March 2020",Past Tango Weekend / Festivalito
CANARY ISLANDS TANGO FESTIVAL,"Las Palmas de Gran Canaria, Spain","Monday, 09 March 2020 - Sunday, 15 March 2020",Past Tango Festival
7 - 8 MARCH TECNICA PARA MUJERES CON MARIANA MONTES,"Catania, Italy","Saturday, 07 March 2020 - Sunday, 08 March 2020",Past Tango Weekend / Festivalito
Tango Zanzibar Festival,"Nungwi, Tanzania","Friday, 06 March 2020 - Friday, 13 March 2020",Past Tango Festival
Wintertango,"Lillehammer, Norway","Friday, 06 March 2020 - Sunday, 08 March 2020",Past Tango Festival
7 th Munich Tangobiathlon 2020,"München, Germany","Friday, 06 March 2020 - Sunday, 08 March 2020",Past Tango Marathon
"Leap GRANDE milonga, neolonga and nuevolonga","Zagreb, Croatia","Saturday, 29 February 2020 - Sunday, 01 March 2020",Past Uncategorised Tango Event
Tango ENTRE ARCOS - Czech Republic,"Hradec nad Moravicí, Czechia","Friday, 28 February 2020 - Sunday, 01 March 2020",Past Tango Marathon
World Tango Congress,"Den Haag, Netherlands","Thursday, 27 February 2020 - Sunday, 01 March 2020",Past Tango Festival
2nd Edition - MIAMI SUNSHINE TANGO FESTIVAL 2020,"Sunny Isles Beach, United States","Friday, 21 February 2020 - Monday, 24 February 2020",Past Tango Festival
