first_dancer,second_dancer
Javier Rodriguez,Fatima Vitale
Javier Rodriguez,Fatima Vitale
Claudio Gonzalez,Julia Urruty
Carlitos Espinoza,Noelia Hurtado
Pablo Alvarez,Corina Herrera
Pablo Rodriguez,Carolina Couto
Diego Riemer,Mariana Dragone
Claudio Gonzalez,Julia Urruty
Pablo Alvarez,Corina Herrera
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Diego Riemer,Mariana Dragone
Pablo Alvarez,Corina Herrera
Diego Riemer,Mariana Dragone
Carlitos Espinoza,Noelia Hurtado
Noelia Hurtado,Carlitos Espinoza
Sebastian Arce,Mariana Montes
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Noelia Hurtado,Carlitos Espinoza
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado(milonga)
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Fausto Carpino,Stephanie Fesneau
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Pablo Rodriguez,Corina Herrera
Chicho Frumboli,Juana Sepulveda
Chicho Frumboli,Juana Sepulveda
Fausto Carpino,Stephanie Fesneau
Chicho Frumboli,Juana Sepulveda
Ines Muzzopappa,Federico Naveira
Pablo Rodriguez,Noelia Hurtado
Andres Molina,Cecilia Piccinni
Pablo Rodriguez,"Noelia Hurtado,"
Chicho Frumboli,Juana Sepulveda
Gaston Torelli,Moira Castellano
Ariadna Naveira,Fernando Sanchez
Noelia Hurtado,Pablo Rodriguez
Magdalena Gutierrez,Germán Ballejo
Pablo Rodriguez,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Chicho Frumboli,Juana Sepulveda
Chicho Frumboli,Juana Sepulveda
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Gaston Torelli,Moira Castellano
Chicho Frumboli,Juana Sepulveda
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Pablo Rodriguez,Noelia Hurtado
Chicho Frumboli,Juana Sepulveda
Chicho Frumboli,Juana Sepulveda
Pablo Rodriguez,Corina Herrera
Chicho Frumboli,Juana Sepulveda
Pablo Rodriguez,Corina Herrera
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Chicho Frumboli,Juana Sepulveda
Gaston Torelli,Moira Castellano
Ines Muzzopappa,Federico Naveira
Chicho Frumboli,Moira Castellano
Sven Breynaert,Sonja Bruyninckx
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Pablo Rodriguez,"Noelia Hurtado,"
Gaston Torelli,Moira Castellano
Pablo Rodriguez,Carolina Couto
Chicho Frumboli,Moira Castellano
Pablo Rodriguez,Corina Herrera
Pablo Rodriguez,Corina Herrera
Carlitos Espinoza,Noelia Hurtado
Fernando Sanchez,Ariadna Naveira
Gaston Torelli,Moira Castellano
Fernando Sanchez,Ariadna Naveira
Sabrina Masso,Federico Naveira
Chicho Frumboli,Moira Castellano
Chicho Frumboli,Juana Sepulveda
Chicho Frumboli,Juana Sepulveda
Chicho Frumboli,Juana Sepulveda
Pablo Rodriguez,"Noelia Hurtado,"
Carlitos Espinoza,Noelia Hurtado
Chicho Frumboli,Juana Sepulveda
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Chicho Frumboli,Juana Sepulveda
Carlitos Espinoza,Noelia Hurtado
Pablo Rodriguez,Carolina Couto
Ariadna Naveira,Fernando Sanchez
Marko Miljevich,Maja Petrovich
Chicho Frumboli,Juana Sepulveda
Carlitos Espinoza,Noelia Hurtado
Pablo Rodriguez,Corina Herrera
Chicho Frumboli,Juana Sepulveda
Gaston Torelli,Moira Castellano
Carlitos Espinoza,Noelia Hurtado
Pablo Rodriguez,"Noelia Hurtado,"
Andres Molina,Cecilia Piccinni
Fernando Sanchez,Ariadna Naveira
Chicho Frumboli,Juana Sepulveda
Ines Muzzopappa,Federico Naveira
Marko Miljevich,Maja Petrovich
Pablo Rodriguez,Noelia Hurtado
Fernando Sanchez,Ariadna Naveira
Chicho Frumboli,Moira Castellano
Pablo Rodriguez,Corina Herrera
Carlitos Espinoza,Noelia Hurtado
Chicho Frumboli,Juana Sepulveda
Ariadna Naveira,Fernando Sanchez
Noelia Hurtado,Pablo Rodriguez
Fausto Carpino,Stephanie Fesneau
Chicho Frumboli,Juana Sepulveda
Chicho Frumboli,Juana Sepulveda
Chicho Frumboli,Juana Sepulveda
Chicho Frumboli,Juana Sepulveda
Roxana Suarez,Sebastian Achaval
Chicho Frumboli,Juana Sepulveda
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Ariadna Naveira,Fernando Sanchez
Chicho Frumboli,Juana Sepulveda
Noelia Hurtado,Pablo Rodriguez
Chicho Frumboli,Juana Sepulveda
Pablo Rodriguez,Corina Herrera
Chicho Frumboli,Juana Sepulveda
Pablo Rodriguez,Carolina Couto
Marko Miljevich,Maja Petrovich
Pablo Rodriguez,Corina Herrera
Fernando Sanchez,Ariadna Naveira
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Fausto Carpino,Stephanie Fesneau
Chicho Frumboli,Juana Sepulveda
Carlitos Espinoza,Noelia Hurtado
Maja Petrovic,Marko Miljevic
Pablo Rodriguez,Corina Herrera
Gaston Torelli,Moira Castellano
Fernando Sanchez,Ariadna Naveira
Ariadna Naveira,Fernando Sanchez
Carlitos Espinoza,Noelia Hurtado
Fernando Sanchez,Ariadna Naveira
Chicho Frumboli,Juana Sepulveda
Chicho Frumboli,Juana Sepulveda
Andres Molina,Cecilia Piccinni
Carlitos Espinoza,Noelia Hurtado
Chicho Frumboli,Juana Sepulveda
Pablo Rodriguez,Corina Herrera
Pablo Rodriguez,Corina Herrera
Julio Balmaceda,Corina de
Noelia Hurtado,Pablo Rodriguez
Fernando Sanchez,Ariadna Naveira
Chicho Frumboli,Juana Sepulveda
Chicho Frumboli,Juana Sepulveda
Maja Petrovic,Marko Miljevic
Chicho Frumboli,Juana Sepulveda
Chicho Frumboli,Juana Sepulveda
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Gaston Torelli,Moira Castellano
Gaston Torelli,Moira Castellano
Pablo Rodriguez,Noelia Hurtado
Fausto Carpino,Stephanie Fesneau
Pablo Rodriguez,Corina Herrera
Carlitos Espinoza,Noelia Hurtado
Pablo Rodriguez,Carolina Couto
Carlitos Espinoza,Noelia Hurtado
Chicho Frumboli,Juana Sepulveda
Chicho Frumboli,Moira Castellano
Noelia Hurtado,Pablo Rodriguez
Chicho Frumboli,Moira Castellano
Marko Miljevich,Maja Petrovich
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,"Sofia Saborido,"
Carlitos Espinoza,"Noelia Hurtado,"
Maja Petrovic,Marko Miljevic
Carlitos Espinoza,"Sofia Saborido,"
Carlitos Espinoza,"Sofia Saborido,"
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Carlitos Espinoza,Noelia Hurtado
Noelia Hurtado,"Carlitos Espinoza,"
Noelia Hurtado,"Carlitos Espinoza,"
Noelia Hurtado,"Carlitos Espinoza,"
Carlitos Espinoza,Noelia Hurtado
Noelia Hurtado,"Carlitos Espinoza,"
Noelia Hurtado,Carlitos Espinoza
Noelia Hurtado,Carlitos Espinoza
Carlitos Espinoza,Noelia Hurtado.
Carlitos Espinoza,Noelia Hurtado
Noelia Hurtado,Carlitos Espinoza
Noelia Hurtado,Carlitos Espinoza
Dana Frigoli,Adrian Ferreyra
Joe Corbata,Lucila Cionci
Dana Frigoli,Adrian Ferreyra
Dana Frigoli,Adrian Ferreyra
Dana Frigoli,Adrian Ferreyra
Dana Frigoli,Adrian Ferreyra
Gaston Torelli,Moira Castellano
Dana Frigoli,Adrian Ferreyra
Dana Frigoli,Adrian Ferreyra
Miriam Larici,Leonardo Barrionuevo
Miriam Larici,Leonardo Barrionuevo
Miriam Larici,"Leonardo Barrionuevo,"
Miriam Larici,Leonardo Barrionuevo
Miriam Larici,Leonardo Barrionuevo
Miriam Larici,Leonardo Barrionuevo
Miriam Larici,Leonardo Barrionuevo
Miriam Larici,Leonardo Barrionuevo
Miriam Larici,Leonardo Barrionuevo
Miriam Larici,Leonardo Barrionuevo
Miriam Larici,Leonardo Barrionuevo
Miriam Larici,Leonardo Barrionuevo
Miriam Larici,Leonardo Barrionuevo's
Miriam Larici,Leonardo Barrionuevo's
Miriam Larici,Leonardo Barrionuevo)
Miriam Larici,Leonardo Barrionuevo
SYTYCD Ezra,Madison -
Lorena Tarantino,Gianpiero Galdi
Lorena Tarantino,Gianpiero Galdi
Ariadna Naveira,"Fernando Sanchez,"
Ariadna Naveira,"Fernando Sanchez,"
Solana Brennan,Onur Gümrükçü
Ariadna Naveira,Jonathan Saavedra
Ariadna Naveira,Fernando Sanchez
Lorena Tarantino,Gianpiero Galdi
Natacha Lockwood,Jonathan Saavedra-Mandria-Juan
Lorena Tarantino,Gianpiero Galdi
Ariadna Naveira,"Fernando Sanchez,"
Sebastian Jimenez,Maria Ines
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Rocio Lequio,Bruno Tombari
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Stefania Colina,Juan Martin
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Maja Petrovic,Marko Miljevic
Carlitos Espinoza,"Noelia Hurtado,"
Carlitos Espinoza,"Noelia Hurtado,"
Carlitos Espinoza,"Noelia Hurtado,"
Carlitos Espinoza,"Noelia Hurtado,"
Noelia Hurtado,Carlitos Espinoza
Noelia Hurtado,Carlitos Espinoza
Noelia Hurtado,Carlitos Espinoza
Noelia Hurtado,Carlitos Espinoza
Noelia Hurtado,Carlitos Espinoza
Noelia Hurtado,Carlitos Espinoza
Michelle Marsidi,Joachim Dietiker
Fernando Sanchez,"Ariadna Naveira,"
Fausto Carpino,Stephanie Fesneau
Horacio Godoy,"Magdalena Gutierrez,"
Chicho Frumboli,"Juana Sepulveda,"
Sara Grdan,"Ivan Terrazas,"
Ciccio Aiello,"Sofia Galanaki,"
Horacio Godoy,"Magdalena Gutierrez,"
Sebastian Jimenez,Maria Ines
Martin Carrara,"Stefania Colina,"
Federico Naveira,"Ines Muzzopappa,"
Horacio Godoy,"Cecilia Berra,"
Rodrigo Fonti,"Majo Martirena,"
Dmitry Vasin,"Sagdiana Hamzina,"
Fernando Sanchez,"Ariadna Naveira,"
Javier Rodriguez,"Fatima Vitale,"
Horacio Godoy,"Cecilia Berra,"
Diego Riemer,Maria Belén
Adrian Veredice,Alejandra Hobert
Horacio Godoy,"Cecilia Berra,"
Gaston Torelli,Moira Castellano
Chicho Frumboli,"Juana Sepulveda,"
Fernando Sanchez,"Ariadna Naveira,"
Chicho Frumboli,"Juana Sepulveda,"
Natalia Molokova,"Yury Shtykin,"
Alper Ergökmen,"Selen Sürek,"
Chicho Frumboli,"Laura Elizondo,"
Diego Riemer,Maria Belén
la Cruz,"Paola Sanz,"
Carla Mazzolini,"Gaspar Godoy,"
Horacio Godoy,"Magdalena Gutierrez,"
Federico Naveira,"Ines Muzzopappa,"
Horacio Godoy,"Magdalena Gutierrez,"
Maxim Akhmetzhanov,Ekaterina Kuznitsina
Sebastian Arce,Mariana Montes
Pablo Rodriguez,Noelia Hurtado
Horacio Godoy,Karina Colmeiro
Silvina Valz,"Oliver Kolker,"
Silvina Valz,"Oliver Kolker,"
Fausto Carpino,"Stephanie Fesneau,"
Ariadna Naveira,"Fernando Sanchez,"
Chicho Frumboli,"Juana Sepulveda,"
Dana Frigoli,"Adrian Ferreyra,"
Dana Frigoli,"Adrian Ferreyra,"
Adrian Veredice,"Alejandra Hobert,1,"
Ariadna Naveira,"Fernando Sanchez,"
Chicho Frumboli,"Juana Sepulveda,"
Chicho Frumboli,"Juana Sepulveda,"
Horacio Godoy,"Cecilia Berra,"
Fernando Gracia,"Sol Cerquides,"
Sebastian Arce,Mariana Montes
Brigita Rodriguez,"Carlos Rodriguez,"
Chicho Frumboli,"Juana Sepulveda,"
Vanesa Villalba,"Facundo Piñero,"
Chicho Frumboli,Juana Sepulveda
Chicho Frumboli,"Juana Sepulveda,"
Michael Nadtochi,"Eleonora Kalganova,"
Roxana Suarez,"Sebastian Achaval,"
Martin Ojeda,"Carolina Bonaventura,"
Pablo Rodriguez,"Corina Herrera,"
Ricardo Biggeri,"Cecilia Piccinni,"
Sebastian Achaval,"Roxana Suarez,"
Ariadna Naveira,"Fernando Sanchez,"
Maxim Akhmetzhanov,"Ekaterina Kuznitsina,"
Brigita Rodriguez,"Carlos Rodriguez,"
Selen Sürek,"Alper Ergökmen,"
Sebastian Arce,"Mariana Montes,"
Pablo Rodriguez,"Noelia Hurtado,"
Rodrigo Fonti,"Majo Martirena,"
Brigita Rodriguez,"Carlos Rodriguez,"
Javier Rodriguez,"Fatima Vitale,"
Christian Marquez,"Virginia Gomez,"
Moira Castellano,"Gaston Torelli,"
Ariadna Naveira,"Fernando Sanchez,"
Adrian Veredice,"Alejandra Hobert,"
Juan Alonso,Maria Silvia
Sebastian Arce,"Mariana Montes,"
Martin Carrara,"Stefania Colina,"
Rodrigo Fonti,"Majo Martirena,"
Fabian Peralta,Josefina Bermudez
Horacio Godoy,Karina Colmeiro
Horacio Godoy,"Magdalena Gutierrez,"
Silvina Valz,"Oliver Kolker,"
Julio Balmaceda,Corina de
Horacio Godoy,"Cecilia Berra,"
Adrian Veredice,"Alejandra Hobert,"
Horacio Godoy,Cecilia Berra
Fernando Sanchez,"Ariadna Naveira,"
Nito,"Elba Garcia,"
Fernando Sanchez,"Ariadna Naveira,"
Federico Naveira,"Ines Muzzopappa,"
Sebastian Arce,"Noelia Barsi,"
Chicho Frumboli,"Juana Sepulveda,"
Martin Carrara,"Stefania Colina,"
Chicho Frumboli,"Juana Sepulveda,"
Sebastian Arce,"Mariana Montes,1-3,"
Silvina Valz,"Oliver Kolker,"
Christian Marquez,"Virginia Gomez,"
Selen Sürek,"Alper Ergökmen,"
Sebastian Arce,Mariana Montes
Silvina Valz,"Oliver Kolker,"
Fausto Carpino,"Stephanie Fesneau,"
Christian Marquez,Virginia Gomez
Vanesa Villalba,"Facundo Piñero,"
Carla Mazzolini,"Gaspar Godoy,"
Stefania Colina,Juan Martin
Silvina Valz,"Oliver Kolker,"
Fabian Peralta,Josefina Bermudez
Martin Carrara,"Stefania Colina,"
Chicho Frumboli,"Juana Sepulveda,"
Natalia Molokova,"Yury Shtykin,"
Diego Riemer,Maria Belén
Sebastian Missé,"Andrea Reyero,"
Rodrigo Fonti,"Majo Martirena,"
Vanesa Villalba,"Facundo Piñero,"
Vaggelis Hatzopoulos,"Marianna Koutandou,"
Selen Sürek,Alper Ergökmen
Christian Marquez,Virginia Gomez
Roxana Suarez,"Sebastian Achaval,"
Fernando Gracia,"Sol Cerquides,"
Christian Marquez,"Virginia Gomez,"
Sebastian Missé,"Andrea Reyero,"
Dana Frigoli,"Adrian Ferreyra,"
Arroyo Miranda,Juan Pablo
Fabian Peralta,Josefina Bermudez
Sebastian Arce,"Mariana Montes,"
Diego Riemer,Maria Belén
Sebastian Arce,"Noelia Barsi,"
Angel Zotto,"Daiana Guspero,"
Martin Carrara,"Stefania Colina,"
Sebastian Arce,"Mariana Montes,"
Nito,"Elba Garcia,"
Michael Nadtochi,"Eleonora Kalganova,"
Pablo Rodriguez,"Noelia Hurtado,"
Dana Frigoli,"Adrian Ferreyra,"
Gaston Torelli,"Moira Castellano,"
Javier Rodriguez,"Fatima Vitale,"
Chicho Frumboli,"Majo Martirena,"
Silvina Valz,"Oliver Kolker,"
Sara Grdan,"Ivan Terrazas,"
Sebastian Arce,"Mariana Montes,"
Horacio Godoy,"Cecilia Berra,"
Rodrigo Fonti,"Majo Martirena,"
Maxim Gerasimov,"Agustina Piaggio,"
Adrian Veredice,"Alejandra Hobert,"
Christian Marquez,"Virginia Gomez,"
Carla Mazzolini,"Gaspar Godoy,"
Adrian Veredice,"Alejandra Hobert,"
Ricardo Biggeri,"Cecilia Piccinni,"
Chicho Frumboli,"Juana Sepulveda,"
Rodrigo Fonti,"Majo Martirena,"
Nito,"Elba Garcia,"
Sebastian Arce,"Mariana Montes,"
Chicho Frumboli,"Juana Sepulveda,"
Carla Mazzolini,"Gaspar Godoy,"
Gaston Torelli,"Moira Castellano,"
Michael Nadtochi,"Eleonora Kalganova,"
Diego Riemer,Maria Belén
Christian Marquez,"Virginia Gomez,"
Sara Parnigoni,Emiliano Alcaraz
Fernando Sanchez,"Ariadna Naveira,"
Michael Nadtochi,"Eleonora Kalganova,"
Javier Rodriguez,"Noelia Barsi,"
Chicho Frumboli,"Juana Sepulveda,"
Vanesa Villalba,"Facundo Piñero,"
Fernando Gracia,"Sol Cerquides,"
Sebastian Arce,"Mariana Montes,"
Van Tilbeurgh,"Dominic Bridge,"
Sebastian Arce,"Mariana Montes,"
Rodrigo Fonti,"Majo Martirena,"
Sebastian Arce,"Mariana Montes,"
Fausto Carpino,Stephanie Fesneau
Ariadna Naveira,"Fernando Sanchez,"
Moira Castellano,"Gaston Torelli,"
Chicho Frumboli,Juana Sepulveda
Ariadna Naveira,"Fernando Sanchez,"
Chicho Frumboli,"Juana Sepulveda,"
Michael Nadtochi,"Eleonora Kalganova,"
Fausto Carpino,"Stephanie Fesneau,"
Sebastian Missé,"Andrea Reyero,"
Horacio Godoy,"Cecilia Berra,"
Diego Riemer,Maria Belén
Jonathan Saavedra,"Clarisa Aragon,"
Rodrigo Fonti,"Majo Martirena,"
Pablo Rodriguez,"Corina Herrera,"
la Cruz,"Paola Sanz,"
Diego Riemer,Maria Belén
Alper Ergökmen,"Selen Sürek,"
Fernando Sanchez,"Ariadna Naveira,"
Sebastian Jimenez,Maria Ines
Chicho Frumboli,"Juana Sepulveda,"
Geraldine Rojas,"Ezequiel Paludi,"
Martin Carrara,"Stefania Colina,"
Stefania Colina,Juan Martin
Martin Ojeda,"Carolina Bonaventura,"
Michael Nadtochi,"Eleonora Kalganova,"
Diego Riemer,Maria Belén
Chicho Frumboli,"Juana Sepulveda,"
Adrian Veredice,"Alejandra Hobert,"
Horacio Godoy,"Cecilia Berra,"
Chicho Frumboli,Juana Sepulveda
Chicho Frumboli,Juana Sepulveda
la Cruz,"Paola Sanz,"
Jonathan Saavedra,"Clarisa Aragon,"
Roxana Suarez,"Sebastian Achaval,"
Celeste Medina,"Rodrigo Fonti,"
Ruben Veliz,"Sabrina Veliz,"
Ariadna Naveira,"Fernando Sanchez,"
Diego Riemer,Maria Belén
Sebastian Arce,"Mariana Montes,"
Angel Zotto,"Daiana Guspero,"
Sebastian Arce,"Mariana Montes,"
Ariadna Naveira,"Fernando Sanchez,"
Chicho Frumboli,"Majo Martirena,"
Gaspar Godoy,"Carla Mazzolini,"
Michael Nadtochi,"Eleonora Kalganova,"
Horacio Godoy,"Cecilia Berra,"
Sabrina,"Ruben Veliz,"
Alper Ergökmen,"Selen Sürek,"
Dana Frigoli,"Adrian Ferreyra,"
Sebastian Arce,"Mariana Montes,"
Rui Barroso,"Inês Gomes,"
Carla Mazzolini,"Gaspar Godoy,"
Horacio Godoy,"Cecilia Berra,"
Brigita Urbietytė,Carlos Rodriguez
Dana Frigoli,"Adrian Ferreyra,"
Sebastian Jimenez,Maria Ines
Chicho Frumboli,"Juana Sepulveda,"
Pablo Rodriguez,Noelia Hurtado
Javier Antar,"Kara Wenham,"
Chicho Frumboli,"Juana Sepulveda,"
Fausto Carpino,Stephanie Fesneau
Chicho Frumboli,Juana Sepulveda
Julio Balmaceda,"Virginia Vasconi,"
Ariadna Naveira,Fernando Sanchez
Sebastian Jimenez,Maria Ines
Ariadna Naveira,"Fernando Sanchez,"
Nito,"Elba, 1-3,"
Chicho Frumboli,Juana Sepulveda
Dana Frigoli,"Adrian Ferreyra,"
Julio Balmaceda,Corina de
Ezequiel Paludi,"Geraldine Rojas,"
Celeste Medina,"Rodrigo Fonti,"
Noelia Hurtado,"Carlitos Espinoza,"
Roxana Suarez,"Sebastian Achaval,"
Chicho Frumboli,"Majo Martirena,"
Horacio Godoy,"Cecilia Berra,"
Horacio Godoy,"Cecilia Berra,"
Fernando Gracia,"Sol Cerquides,"
Ezequiel Paludi,"Geraldine Rojas,"
Sebastian Achaval,"Roxana Suarez,"
Fernando Sanchez,"Ariadna Naveira,"
Chicho Frumboli,"Juana Sepulveda,"
Maxim Akhmetzhanov,"Ekaterina Kuznitsina,"
Julio Balmaceda,Corina de
Rodrigo Fonti,"Majo Martirena,"
Vanesa Villalba,"Facundo Piñero,"
Ezequiel Paludi,"Geraldine Rojas,"
Federico Naveira,"Sabrina Masso,"
Horacio Godoy,"Magdalena Gutierrez,"
Chicho Frumboli,Juana Sepulveda
Sebastian Arce,Mariana Montes
Sebastian Arce,"Mariana Montes,"
Chicho Frumboli,"Juana Sepulveda,"
Javier Antar,"Kara Wenham,"
Sebastian Jimenez,Maria Ines
Sara Grdan,"Ivan Terrazas,"
Noelia Hurtado,"Carlitos Espinoza,"
Sebastian Jimenez,Maria Ines
Ariadna Naveira,"Fernando Sanchez,"
Selen Sürek,"Alper Ergökmen,"
Ariadna Naveira,"Fernando Sanchez,"
Boedo Tango,"Brigita Urbietytė,"
Ariadna Naveira,Fernando Sanchez
Fernando Sanchez,"Ariadna Naveira,"
Sebastian Arce,"Mariana Montes,"
Sebastian Arce,"Mariana Montes,"
Celeste Medina,"Rodrigo Fonti,"
Vaggelis Hatzopoulos,"Marianna Koutandou,"
Roxana Suarez,"Sebastian Achaval,"
Sebastian Arce,"Mariana Montes,"
la Cruz,"Paola Sanz,"
Carla Mazzolini,"Gaspar Godoy,"
Sebastian Missé,"Andrea Reyero,"
Adrian Veredice,Alejandra Hobert
Adrian Veredice,"Alejandra Hobert,"
Ruben Veliz,"Sabrina Veliz,"
Ezequiel Paludi,"Geraldine Rojas,"
Sebastian Achaval,"Roxana Suarez,"
Michael Nadtochi,"Eleonora Kalganova,"
Chicho Frumboli,"Juana Sepulveda,"
Silvina Valz,"Oliver Kolker,"
Dana Frigoli,"Adrian Ferreyra,"
Martin Ojeda,"Carolina Bonaventura,"
Selen Sürek,Alper Ergökmen
Sebastian Arce,"Mariana Montes,"
Julio Balmaceda,Corina de
Javier Rodriguez,"Noelia Barsi,"
Celeste Medina,"Rodrigo Fonti,"
Sebastian Achaval,"Roxana Suarez,"
Noelia Hurtado,"Carlitos Espinoza,"
Fernando Gracia,"Sol Cerquides,"
Noelia Hurtado,Carlitos Espinoza
Michael Nadtochi,"Eleonora Kalganova,"
Julio Balmaceda,Corina de
Ariadna Naveira,"Fernando Sanchez,"
Nito,"Elba, 3-3,"
Adrian Ferreyra,"Karina Colmeiro,"
Natalia Molokova,"Yury Shtykin,"
Dmitry Vasin,Sagdiana Hamzina
Sebastian Arce,"Mariana Montes,"
Diego Riemer,Maria Belén
Horacio Godoy,"Magdalena Gutierrez,"
Sebastian Arce,"Mariana Montes,"
Geraldine Rojas,"Ezequiel Paludi,"
"""Joe"" Corbata","Lucila Cionci,"
Selen Sürek,"Alper Ergökmen,"
Julieta Qüesta,"Rauli Choque,"
Chicho Frumboli,"Majo Martirena,"
Sebastian Achaval,Roxana Suarez
Celeste Medina,"Rodrigo Fonti,"
Gaston Torelli,Moira Castellano
Gaspar Godoy,"Carla Mazzolini,"
Ezequiel Paludi,"Geraldine Rojas,"
Juan Alonso,Maria Silvia
Horacio Godoy,"Cecilia Berra,"
Noelia Hurtado,"Carlitos Espinoza,"
Fausto Carpino,Stephanie Fesneau
Rodrigo Fonti,"Majo Martirena,"
Ezequiel Paludi,"Geraldine Rojas,"
Vasco Martins,"Rita Caldas,"
Horacio Godoy,"Cecilia Berra,"
Celeste Medina,"Rodrigo Fonti,"
Fausto Carpino,Stephanie Fesneau
Silvina Valz,"Oliver Kolker,"
Horacio Godoy,"Cecilia Berra,"
Diego Riemer,Maria Belén
Sebastian Jimenez,Maria Ines
Julio Balmaceda,Corina de
Christian Marquez,"Virginia Gomez,"
Gaston Torelli,"Mariana Dragone,"
Rodrigo Fonti,"Majo Martirena,"
Diego Riemer,Maria Belén
Julieta Qüesta,"Rauli Choque,"
