DATE,ARTIST,TITLE,2nd ARTIST,STYLE,COMPOSER,AUTHOR,LAST_NAME_SEARCH,
1940-11-13,Angel D'AGOSTINO,Muchacho,Angel Vargas,TANGO,Edgardo Donato,Celedonio Flores,AGOSTINO,
1940-11-13,Angel D'AGOSTINO,No aflojés,Angel Vargas,TANGO,Pedro Maffia y Sebastián Piana,Mario Battistella,AGOSTINO,
1941-07-24,Angel D'AGOSTINO,Tres esquinas,Angel Vargas,TANGO,Angel D'Agostino y Alfredo Attadía,Enrique Cadícamo,AGOSTINO,
1941-07-24,Angel D'AGOSTINO,Un copetin,Angel Vargas,TANGO,Juan Maglio,José Fernández,AGOSTINO,
1941-09-09,Angel D'AGOSTINO,Adios arrabal,Angel Vargas,TANGO,Juan Baüer,Carlos Lenzi,AGOSTINO,
1941-09-09,Angel D'AGOSTINO,Ahora no me conocés,Angel Vargas,TANGO,Armando Baliotti,Carlos Giampetruzzi,AGOSTINO,
1941-10-20,Angel D'AGOSTINO,Compadreando,Angel Vargas,MILONGA,Mario Soto,Alfredo Attadía,AGOSTINO,
1941-10-20,Angel D'AGOSTINO,Solo compasion,Angel Vargas,TANGO,Benjamín Holgado Barrio,Luis Castiñeira,AGOSTINO,
1941-11-05,Angel D'AGOSTINO,Una pena,Angel Vargas,TANGO,Adolfo Rosquellas,Arturo Albert,AGOSTINO,
1941-11-12,Angel D'AGOSTINO,Traiga otra caña,Angel Vargas,TANGO,Antonio Scatasso,Alberto Novión,AGOSTINO,
1941-11-13,Angel D'AGOSTINO,Agua florida,Angel Vargas,TANGO,Ramón Collazo,Fernán Silva Valdés,AGOSTINO,
1941-11-13,Angel D'AGOSTINO,El choclo,Angel Vargas,TANGO,Angel Villoldo,Angel Villoldo,AGOSTINO,
1941-12-12,Angel D'AGOSTINO,El Yacaré,Angel Vargas,TANGO,Alfredo Attadía,Mario Soto,AGOSTINO,
1941-12-12,Angel D'AGOSTINO,Qué me pasará,Angel Vargas,VALS,Alfredo Zappettini,Nolo López,AGOSTINO,
1942-00-00,Angel D'AGOSTINO,El cuarteador,Angel Vargas,TANGO,Enrique Cadícamo,Enrique Cadícamo,AGOSTINO,
1942-03-16,Angel D'AGOSTINO,Adios para siempre,Angel Vargas,TANGO,José María Rizzuti,Nolo López,AGOSTINO,
1942-03-16,Angel D'AGOSTINO,Notas de bandoneón,Angel Vargas,TANGO,Orestes Cúfaro,Enrique Cadícamo,AGOSTINO,
1942-04-07,Angel D'AGOSTINO,Gorriones,Angel Vargas,TANGO,Eduardo Pereyra,Celedonio Flores,AGOSTINO,
1942-04-07,Angel D'AGOSTINO,Pobre gallo bataraz (2),Angel Vargas,TANGO,Pedro Maffia,Celedonio Flores,AGOSTINO,
1942-04-07,Angel D'AGOSTINO,Viejo coche,Angel Vargas,TANGO,Eduardo Pereyra,Celedonio Flores,AGOSTINO,
1942-04-23,Angel D'AGOSTINO,Entre copa y copa,Angel Vargas,MILONGA,Angel D'Agostino y Alfredo Attadía,Héctor Marcó,AGOSTINO,
1942-04-23,Angel D'AGOSTINO,Un tropezón,Angel Vargas,TANGO,Raúl De los Hoyos,Luis Bayón Herrera,AGOSTINO,
1942-05-22,Angel D'AGOSTINO,Dice un refrán,Angel Vargas,TANGO,Ángel D'Agostino,Enrique Cadícamo,AGOSTINO,
1942-05-22,Angel D'AGOSTINO,Esquinas porteñas,Angel Vargas,VALS,Sebastián Piana,Homero Manzi,AGOSTINO,
1942-06-15,Angel D'AGOSTINO,Guitarra que llora,Angel Vargas,TANGO,Oscar Alemán y Gastón Bueno Lobo,Enrique Cadícamo,AGOSTINO,
1942-06-15,Angel D'AGOSTINO,Trasnochando,Angel Vargas,TANGO,Armando Baliotti,Santiago Adamini,AGOSTINO,
1942-07-15,Angel D'AGOSTINO,Al volverte a ver,Angel Vargas,TANGO,Roberto Nievas Blanco,Julio Jorge Nelson,AGOSTINO,
1942-07-15,Angel D'AGOSTINO,Un lamento,Angel Vargas,TANGO,Graciano De Leone,Eugenio Cardenas,AGOSTINO,
1942-08-11,Angel D'AGOSTINO,Gil a rayas,,TANGO,Juan Carlos Guyot y Rafael Herraiz,,AGOSTINO,
1942-09-02,Angel D'AGOSTINO,Hay que vivirla compadre,Angel Vargas,TANGO,Ángel D'Agostino y Alfredo Attadía,Héctor Marcó,AGOSTINO,
1942-09-02,Angel D'AGOSTINO,Pero yo sé,Angel Vargas,TANGO,Azucena Maizani,Azucena Maizani,AGOSTINO,
1942-10-15,Angel D'AGOSTINO,De salto y carta,Angel Vargas,TANGO,Alberto Acuña,José De Cicco,AGOSTINO,
1942-10-15,Angel D'AGOSTINO,La chiflada,,TANGO,Anselmo Aieta,Francisco García Jiménez,AGOSTINO,
1942-10-29,Angel D'AGOSTINO,Noviecita mía,Angel Vargas,TANGO,Antonio Polito,Antonio Polito,AGOSTINO,
1942-10-29,Angel D'AGOSTINO,Oiga mozo,Angel Vargas,TANGO,Héctor Varela y Alberto Nery,Héctor Varela y Alberto Nery,AGOSTINO,
1942-11-17,Angel D'AGOSTINO,Así me gusta a mí,Angel Vargas,MILONGA,Ángel D'Agostino,José Barreiros Bazán,AGOSTINO,
1942-11-17,Angel D'AGOSTINO,Llora vida mia,Angel Vargas,TANGO,Enrique Cadícamo,Enrique Cadícamo,AGOSTINO,
1942-11-17,Angel D'AGOSTINO,Yo tengo una novia,Angel Vargas,VALS,Diego Centeno y Rosendo Pesoa,Héctor Marcó,AGOSTINO,
1942-12-14,Angel D'AGOSTINO,Todo terminó,Angel Vargas,TANGO,Alfredo Attadía y Ismael Spitalnik,Mario Soto,AGOSTINO,
1942-12-30,Angel D'AGOSTINO,Barrio de tango,Angel Vargas,TANGO,Aníbal Troilo,Homero Manzi,AGOSTINO,
1942-12-30,Angel D'AGOSTINO,Ninguna,Angel Vargas,TANGO,Raúl Fernández Siro,Homero Manzi,AGOSTINO,
1943-03-12,Angel D'AGOSTINO,El trece,Angel Vargas,TANGO,Albérico Spátola,Angel Gregorio Villoldo,AGOSTINO,
1943-03-12,Angel D'AGOSTINO,En lo de Laura,Angel Vargas,MILONGA,Antonio Polito,Enrique Cadícamo,AGOSTINO,
1943-03-23,Angel D'AGOSTINO,El porteñito,Angel Vargas,MILONGA,Ángel Villoldo,Ángel Villoldo,AGOSTINO,
1943-03-23,Angel D'AGOSTINO,No creas,Angel Vargas,TANGO,Benjamín Holgado Barrio,Luis Castiñeira,AGOSTINO,
1943-04-30,Angel D'AGOSTINO,Madre hay una sola,Angel Vargas,TANGO,Agustín Bardi,José de la Vega,AGOSTINO,
1943-04-30,Angel D'AGOSTINO,Me llaman tango,Angel Vargas,TANGO,Emilio De Caro,Mario Soto,AGOSTINO,
1943-06-10,Angel D'AGOSTINO,El trompito,Angel Vargas,TANGO,Enrique Cadícamo,Enrique Cadícamo,AGOSTINO,
1943-06-10,Angel D'AGOSTINO,Tomo y obligo,Angel Vargas,TANGO,Carlos Gardel,Manuel Romero,AGOSTINO,
1943-08-10,Angel D'AGOSTINO,A las siete en el café,Raul Aldao,TANGO,Armando Baliotti,Santiago Adamini,AGOSTINO,
1943-08-10,Angel D'AGOSTINO,Ronda de tango,Raul Aldao,TANGO,Martín Podestá,Martín Podestá,AGOSTINO,
1943-08-10,Angel D'AGOSTINO,Y te dejé partir,Raul Aldao,TANGO,Ángel D'Agostino y Alfredo Attadía,José María Contursi,AGOSTINO,
1943-09-03,Angel D'AGOSTINO,Que lento corre el tren,Angel Vargas,TANGO,Alfredo De Angelis,Carmelo Volpe,AGOSTINO,
1943-09-03,Angel D'AGOSTINO,Un tango argentino,Angel Vargas,TANGO,Carmelo Santiago,Carmelo Santiago,AGOSTINO,
1943-09-09,Angel D'AGOSTINO,El cardo azul,Angel Vargas,TANGO,Carlos Gardel y José Razzano,Carlos Gardel y José Razzano,AGOSTINO,
1943-11-15,Angel D'AGOSTINO,Cantando olvidaré,Angel Vargas,TANGO,Ángel D'Agostino y Alfredo Attadía,José Fernández,AGOSTINO,
1943-11-15,Angel D'AGOSTINO,El cornetín del tranvia,Angel Vargas,TANGO,Oscar Arona,Armando Tagini,AGOSTINO,
1943-11-15,Angel D'AGOSTINO,La carreta,Angel Vargas,TANGO,José Servidio y Luis Servidio,Francisco García Jiménez,AGOSTINO,
1943-12-05,Angel D'AGOSTINO,De pura cepa (2),,TANGO,Roberto Firpo,,AGOSTINO,
1943-12-05,Angel D'AGOSTINO,Gran muñeca,,TANGO,Alfredo Bevilacqua,,AGOSTINO,
1944-01-31,Angel D'AGOSTINO,Esta noche en Buenos Aires,Angel Vargas,TANGO,Ángel D'Agostino y Eduardo Del Piano,Avlis (Erasmo Silva Cabrera),AGOSTINO,
1944-01-31,Angel D'AGOSTINO,Quién tuviera dieciocho años,Angel Vargas,TANGO,Guillermo Barbieri,Guillermo Barbieri,AGOSTINO,
1944-03-09,Angel D'AGOSTINO,El espejo de tus ojos,Angel Vargas,VALS,Mario Perini,Ángel Vargas,AGOSTINO,
1944-03-09,Angel D'AGOSTINO,Manoblanca (Mano blanca),Angel Vargas,TANGO,Antonio De Bassi,Homero Manzi,AGOSTINO,
1944-04-05,Angel D'AGOSTINO,Así era el tango,Angel Vargas,TANGO,Fernando Montoni,Juan José Guichandut,AGOSTINO,
1944-04-05,Angel D'AGOSTINO,Como el hornero,Angel Vargas,TANGO,Manuel Sucher,José Rótulo,AGOSTINO,
1944-04-05,Angel D'AGOSTINO,Mas solo que nunca,Angel Vargas,TANGO,Federico Leone,Enrique Dizeo,AGOSTINO,
1944-05-25,Angel D'AGOSTINO,El poncho del olvido,Angel Vargas,TANGO,Adolfo Avilés,Enrique Maroni,AGOSTINO,
1944-05-26,Angel D'AGOSTINO,Su carta no llegó,Angel Vargas,TANGO,Raúl Fernández Siro,Homero Manzi,AGOSTINO,
1944-07-19,Angel D'AGOSTINO,Muñequita,Angel Vargas,TANGO,Francisco Lomuto,Adolfo Herschel,AGOSTINO,
1944-07-19,Angel D'AGOSTINO,Todos te quieren,,MILONGA,José Felipetti,Enrique Dizeo,AGOSTINO,
1944-08-08,Angel D'AGOSTINO,La última cita,Angel Vargas,TANGO,Agustín Bardi,Francisco García Jiménez,AGOSTINO,
1944-08-08,Angel D'AGOSTINO,Mi viejo barrio,Angel Vargas,TANGO,Víctor D'Amario,Francisco Lío,AGOSTINO,
1944-09-13,Angel D'AGOSTINO,La nueva vecina,Angel Vargas,TANGO,Juan José Guichandut,Juan José Guichandut,AGOSTINO,
1944-09-13,Angel D'AGOSTINO,Palais de glace,Angel Vargas,TANGO,Enrique Cadícamo,Enrique Cadícamo,AGOSTINO,
1944-11-02,Angel D'AGOSTINO,El cocherito,Angel Vargas,TANGO,Ángel D'Agostino y Alfredo Attadía,Santiago Adamini,AGOSTINO,
1944-11-02,Angel D'AGOSTINO,Rosita la santiagueña,Angel Vargas,TANGO,Héctor Marcó,Héctor Marcó,AGOSTINO,
1944-12-05,Angel D'AGOSTINO,Madreselva,Angel Vargas,TANGO,Francisco Canaro,Luis César Amadori,AGOSTINO,
1944-12-05,Angel D'AGOSTINO,Yo soy de Parque Patricios,Angel Vargas,TANGO,Víctor Felice,Carlos Lucero,AGOSTINO,
1945-03-20,Angel D'AGOSTINO,Cuando se ha querido mucho,Angel Vargas,TANGO,Federico Leone,Enrique Dizeo,AGOSTINO,
1945-03-20,Angel D'AGOSTINO,Señores yo soy del centro,Angel Vargas,MILONGA,Armando Baliotti,Santiago Adamini,AGOSTINO,
1945-04-05,Angel D'AGOSTINO,Mentira,Angel Vargas,TANGO,Francisco Pracánico,Celedonio Flores,AGOSTINO,
1945-04-05,Angel D'AGOSTINO,Shusheta (El aristócrata),Angel Vargas,TANGO,Juan Carlos Cobián,Enrique Cadícamo,AGOSTINO,
1945-05-21,Angel D'AGOSTINO,De corte criollo,,TANGO,Eduardo Del Piano,,AGOSTINO,
1945-05-21,Angel D'AGOSTINO,Gran Hotel Victoria (Hotel Victoria),Angel Vargas,TANGO,Feliciano Latasa,Carlos Pesce,AGOSTINO,
1945-07-17,Angel D'AGOSTINO,Caricias,Angel Vargas,TANGO,Juan Martí,Alfredo Bigeschi,AGOSTINO,
1945-07-17,Angel D'AGOSTINO,Menta y cedrón,Angel Vargas,TANGO,Oscar Arona,Armando Tagini,AGOSTINO,
1945-07-17,Angel D'AGOSTINO,Porque me siento feliz,Angel Vargas,MILONGA,Mario Perini,Ángel Vargas,AGOSTINO,
1945-08-07,Angel D'AGOSTINO,A quién le puede importar,Angel Vargas,TANGO,Mariano Mores,Enrique Cadícamo,AGOSTINO,
1945-08-27,Angel D'AGOSTINO,Bailarín de contraseña,Angel Vargas,TANGO,Víctor Felice,Carlos Lucero,AGOSTINO,
1945-08-27,Angel D'AGOSTINO,Pinta blanca,Angel Vargas,TANGO,Mario Perini,Cátulo Castillo,AGOSTINO,
1945-10-02,Angel D'AGOSTINO,A pan y agua,Angel Vargas,TANGO,Juan Carlos Cobián,Enrique Cadícamo,AGOSTINO,
1945-10-02,Angel D'AGOSTINO,Tristeza criolla,Angel Vargas,VALS,Ignacio Corsini,Julián de Charras,AGOSTINO,
1945-11-02,Angel D'AGOSTINO,Ave de paso,Angel Vargas,TANGO,Charlo,Enrique Cadícamo,AGOSTINO,
1945-11-02,Angel D'AGOSTINO,De igual a igual,Angel Vargas,TANGO,Rodolfo Sciammarella,Rodolfo Sciammarella,AGOSTINO,
1945-11-02,Angel D'AGOSTINO,No vendra,Angel Vargas,TANGO,Enrique Cadícamo,Enrique Cadícamo,AGOSTINO,
1945-11-02,Angel D'AGOSTINO,Rondando tu esquina,Angel Vargas,TANGO,Charlo,Enrique Cadícamo,AGOSTINO,
1946-02-08,Angel D'AGOSTINO,La cumparsita,Angel Vargas,TANGO,Gerardo Matos Rodriguez,Pascual Contursi y Enrique Maroni,AGOSTINO,
1946-02-08,Angel D'AGOSTINO,Serpentina de esperanza,Angel Vargas,TANGO,José Canet,Afner Gatti,AGOSTINO,
1946-03-29,Angel D'AGOSTINO,Destellos,Angel Vargas,TANGO,Francisco Canaro,Juan Andrés Caruso,AGOSTINO,
1946-03-29,Angel D'AGOSTINO,Racing Club,,TANGO,Vicente Greco,Carlos Pesce,AGOSTINO,
1946-07-12,Angel D'AGOSTINO,Con sabor a tango,,TANGO,Eduardo Del Piano,,AGOSTINO,
1946-07-12,Angel D'AGOSTINO,Gardel-Razzano (El morocho y el oriental),Angel Vargas,MILONGA,Ángel D'Agostino,Enrique Cadícamo,AGOSTINO,
1946-09-10,Angel D'AGOSTINO,Camino del Tucumán,Angel Vargas,TANGO,José Razzano y Cátulo Castillo,José Razzano y Cátulo Castillo,AGOSTINO,
1946-09-10,Angel D'AGOSTINO,Demasiado tarde,Angel Vargas,TANGO,Francisco Troppoli,Agustín Horacio Delamónica,AGOSTINO,
1947-06-10,Angel D'AGOSTINO,Alma de bohemio,Tino Garcia,TANGO,Roberto Firpo,Juan Andrés Caruso,AGOSTINO,
1947-06-10,Angel D'AGOSTINO,Era en otro Buenos Aires,Tino Garcia,TANGO,Fernando Montoni,Horacio Sanguinetti,AGOSTINO,
1951-12-18,Angel D'AGOSTINO,Carnavales de mi vida (Mosca muerta),Tino Garcia,TANGO,Juan Carlos Cobián,Enrique Cadícamo,AGOSTINO,
1951-12-18,Angel D'AGOSTINO,El trece,Tino Garcia,TANGO,Albérico Spátola,Angel Gregorio Villoldo,AGOSTINO,
1952-01-24,Angel D'AGOSTINO,Bailarín compadrito,Tino Garcia,TANGO,Miguel Bucino,Miguel Bucino,AGOSTINO,
1952-01-24,Angel D'AGOSTINO,Mi distinguida pebeta,Ruben Cané,TANGO,Juan José Guichandut,Horacio Sanguinetti,AGOSTINO,
1952-07-24,Angel D'AGOSTINO,Argañaraz (Aquellas farras),Tino Garcia,TANGO,Roberto Firpo,Enrique Cadícamo,AGOSTINO,
1952-07-24,Angel D'AGOSTINO,Café de Barracas,Tino Garcia,TANGO,Eduardo Arolas,Enrique Cadícamo,AGOSTINO,
1952-08-20,Angel D'AGOSTINO,Abranse las pulperías,Tino Garcia,TANGO,Ángel D´Agostino y Alfredo Attadía,Héctor Marcó,AGOSTINO,
1952-08-20,Angel D'AGOSTINO,La cumparsita,Tino Garcia,TANGO,Gerardo Matos Rodriguez,Pascual Contursi y Enrique Maroni,AGOSTINO,
1952-10-31,Angel D'AGOSTINO,Pico de oro,Tino Garcia,TANGO,Juan Carlos Cobián,Enrique Cadícamo,AGOSTINO,
1952-10-31,Angel D'AGOSTINO,Un copetin,Ruben Cané,TANGO,Juan Maglio,José Fernández,AGOSTINO,
1953-02-02,Angel D'AGOSTINO,Cascabelito,Ricardo Ruiz,TANGO,José Bohr,Juan Andrés Caruso,AGOSTINO,
1953-02-02,Angel D'AGOSTINO,Esquinas porteñas,Ruben Cané,VALS,Sebastián Piana,Homero Manzi,AGOSTINO,
1953-02-02,Angel D'AGOSTINO,No aflojés,Ruben Cané,TANGO,Pedro Maffia y Sebastián Piana,Mario Battistella,AGOSTINO,
1953-02-02,Angel D'AGOSTINO,Polvorín,Rubén Cané,TANGO,José Martínez,Manuel Romero,AGOSTINO,
1953-08-10,Angel D'AGOSTINO,Adiós Arolas (Se llamaba Eduardo Arolas),Rubén Cané,TANGO,Ángel D'Agostino,Enrique Cadícamo,AGOSTINO,
1953-08-10,Angel D'AGOSTINO,Gil a rayas,,TANGO,Juan Carlos Guyot y Rafael Herraiz,,AGOSTINO,
1953-09-03,Angel D'AGOSTINO,El cocherito,Rubén Cané,TANGO,Ángel D'Agostino y Alfredo Attadía,Santiago Adamini,AGOSTINO,
1953-09-03,Angel D'AGOSTINO,Muchacho,Ruben Cané,TANGO,Edgardo Donato,Celedonio Flores,AGOSTINO,
1954-01-26,Angel D'AGOSTINO,La sonámbula,,TANGO,Pascual Cardaropoli,,AGOSTINO,
1954-01-26,Angel D'AGOSTINO,Tiento crudo,Tino Garcia y Ruben Cané,MILONGA,Víctor Braña,Enrique Gaudino,AGOSTINO,
1954-02-19,Angel D'AGOSTINO,Carnaval de mi barrio,Tino Garcia y Ruben Cané,TANGO,Luis Rubistein,Luis Rubistein,AGOSTINO,
1954-02-19,Angel D'AGOSTINO,Cómo querés que te quiera,Tino Garcia,TANGO,Héctor Marcó,Héctor Marcó,AGOSTINO,
1955-08-16,Angel D'AGOSTINO,Café Domínguez,Julian Centeya,TANGO,Ángel D'Agostino,Julian Centeya,AGOSTINO,
1955-08-16,Angel D'AGOSTINO,Ella,Tino Garcia,VALS,José Alfredo Jiménez,José Alfredo Jiménez,AGOSTINO,
1959-04-24,Angel D'AGOSTINO,La barranca,Tino Garcia,TANGO,Charlo,Enrique Cadícamo,AGOSTINO,
1959-04-24,Angel D'AGOSTINO,La violetera,Roberto Alvar,TANGO,Anselmo Aieta,Francisco García Jiménez,AGOSTINO,
1959-09-16,Angel D'AGOSTINO,Angel Vargas el ruiseñor,Roberto Alvar,TANGO,Ángel D'Agostino y Eduardo Pereyra,Enrique Cadícamo,AGOSTINO,
1959-09-16,Angel D'AGOSTINO,Corazón cobarde,Tino Garcia,TANGO,Carlos Zárate,Marvil,AGOSTINO,
1962-00-00,Angel D'AGOSTINO,El bar de Rosendo,Tino Garcia,TANGO,Angel D'Agostino,Enrique Cadícamo,AGOSTINO,
1962-00-00,Angel D'AGOSTINO,Gerardo Matos Rodriguez,Tino Garcia,TANGO,Pablo Hechim,Raúl Rosales,AGOSTINO,
1962-00-00,Angel D'AGOSTINO,Yo soy el tango señores,Roberto Alvar,TANGO,Roberto Pérez Prechi,Raúl Gramajo,AGOSTINO,
1963-05-06,Angel D'AGOSTINO,Gil a rayas,,TANGO,Juan Carlos Guyot y Rafael Herraiz,,AGOSTINO,
1963-05-06,Angel D'AGOSTINO,Mi viejo Buenos Aires,Tino Garcia,TANGO,Agustín Minotti,Agustín Minotti,AGOSTINO,
1963-05-20,Angel D'AGOSTINO,Mi chiquita,Raul Lavié,TANGO,Ángel D'Agostino,Enrique Cadícamo,AGOSTINO,
1963-05-20,Angel D'AGOSTINO,Yo te canto Buenos Aires,Raul Lavié,TANGO,Héctor Varela,Carlos Waiss,AGOSTINO,
1938-03-07,Anibal TROILO,Comme il faut,,TANGO,Eduardo Arolas,Gabriel Clausi,TROILO,
1938-03-07,Anibal TROILO,Tinta verde,,TANGO,Agustin Bardi,,TROILO,
1941-03-04,Anibal TROILO,Cachirulo,,TANGO,Francisco Cafiero,,TROILO,
1941-03-04,Anibal TROILO,Mano brava,Francisco Fiorentino,MILONGA,Manuel Buzón,Enrique Cadícamo,TROILO,
1941-03-04,Anibal TROILO,Toda mi vida,Francisco Fiorentino,TANGO,Aníbal Troilo,José María Contursi,TROILO,
1941-03-04,Anibal TROILO,Yo soy el tango,Francisco Fiorentino,TANGO,Domingo Federico,Homero Expósito,TROILO,
1941-04-16,Anibal TROILO,Con toda la voz que tengo,Francisco Fiorentino,MILONGA,Aníbal Troilo,Enrique Dizeo,TROILO,
1941-04-16,Anibal TROILO,Te aconsejo que me olvides,Francisco Fiorentino,TANGO,Pedro Maffia,Jorge Curi,TROILO,
1941-05-28,Anibal TROILO,Pájaro ciego,Francisco Fiorentino y Amadeo Mandarino,TANGO,Antonio Bonavena,Lito Bayardo,TROILO,
1941-05-28,Anibal TROILO,Tabernero (El tabernero),Francisco Fiorentino,TANGO,Fausto Frontera y Miguel Cafre,Raúl Costa Oliveri,TROILO,
1941-06-16,Anibal TROILO,Milongueando en el cuarenta,,TANGO,Armando Pontier,,TROILO,
1941-06-17,Anibal TROILO,El bulin de la calle Ayacucho,Francisco Fiorentino,TANGO,José Servidio y Luis Servidio,Celedonio Flores,TROILO,
1941-07-11,Anibal TROILO,Guapeando,,TANGO,Juan Larenza,,TROILO,
1941-07-11,Anibal TROILO,Una carta,Francisco Fiorentino,TANGO,Miguel Bucino,Miguel Bucino,TROILO,
1941-07-18,Anibal TROILO,Cordón de oro,,TANGO,Carlos Posadas,,TROILO,
1941-07-18,Anibal TROILO,En esta tarde gris,Francisco Fiorentino,TANGO,Mariano Mores,José María Contursi,TROILO,
1941-09-08,Anibal TROILO,El cuarteador,Francisco Fiorentino,TANGO,Enrique Cadícamo,Enrique Cadícamo,TROILO,
1941-09-08,Anibal TROILO,Total pa qué sirvo,Francisco Fiorentino,TANGO,Aníbal Troilo,Enrique Dizeo,TROILO,
1941-10-09,Anibal TROILO,Cautivo,Francisco Fiorentino,TANGO,Egidio Pittaluga,Luis Rubistein,TROILO,
1941-10-09,Anibal TROILO,Maragata,Francisco Fiorentino,TANGO,Francisco Martino,Francisco Martino,TROILO,
1941-10-09,Anibal TROILO,Tu diagnóstico,Francisco Fiorentino,VALS,José Betinotti,José Betinotti,TROILO,
1941-10-23,Anibal TROILO,El tamango,,TANGO,Carlos Posadas,,TROILO,
1941-10-23,Anibal TROILO,No le digas que la quiero,Francisco Fiorentino,TANGO,Enrique Delfino,Alberto Vacarezza,TROILO,
1941-10-23,Anibal TROILO,Tinta roja,Francisco Fiorentino,TANGO,Sebastián Piana,Cátulo Castillo,TROILO,
1941-11-21,Anibal TROILO,Del tiempo guapo,Francisco Fiorentino,MILONGA,Vicente Fiorentino,Marcelo De La Ferrere,TROILO,
1941-11-21,Anibal TROILO,Sencillo y compadre,Francisco Fiorentino,TANGO,Juan José Guichandut,Carlos Bahr,TROILO,
1942-01-08,Anibal TROILO,C.T.V.,,TANGO,Agustín Bardi,,TROILO,
1942-01-08,Anibal TROILO,Malena,Francisco Fiorentino,TANGO,Lucio Demare,Homero Manzi,TROILO,
1942-04-16,Anibal TROILO,Mi castigo,Francisco Fiorentino,TANGO,Julio César Sanders,César Vedani,TROILO,
1942-04-16,Anibal TROILO,Pa' que bailen los muchachos,Francisco Fiorentino,TANGO,Aníbal Troilo,Enrique Cadícamo,TROILO,
1942-04-16,Anibal TROILO,Papá Baltasar,Francisco Fiorentino,MILONGA,Sebastián Piana,Homero Manzi,TROILO,
1942-06-12,Anibal TROILO,Colorao colorao,Francisco Fiorentino,TANGO,Alberto Acuña,Celedonio Flores,TROILO,
1942-06-12,Anibal TROILO,Fueye,Francisco Fiorentino,TANGO,Charlo,Homero Manzi,TROILO,
1942-06-12,Anibal TROILO,Un placer,,VALS,Vicente Romeo,Juan Andrés Caruso,TROILO,
1942-06-15,Anibal TROILO,Los mareados,Francisco Fiorentino,TANGO,Juan Carlos Cobian,Enrique Cadicamo,TROILO,
1942-06-15,Anibal TROILO,Soy muchacho de la guardia,Francisco Fiorentino,TANGO,Agustín Irusta,Héctor Marcó,TROILO,
1942-06-15,Anibal TROILO,Suerte loca,Francisco Fiorentino,TANGO,Anselmo Aieta,Francisco García Jiménez,TROILO,
1942-07-23,Anibal TROILO,Acordándome de vos,Francisco Fiorentino,VALS,Aníbal Troilo,Enrique Dizeo,TROILO,
1942-07-23,Anibal TROILO,La tablada,,TANGO,Francisco Canaro,,TROILO,
1942-09-01,Anibal TROILO,El encopao,Francisco Fiorentino,TANGO,Osvaldo Pugliese,Enrique Dizeo,TROILO,
1942-09-01,Anibal TROILO,Lejos de Buenos Aires,Francisco Fiorentino,TANGO,Alberto Suárez Villanueva,Oscar Rubens,TROILO,
1942-09-01,Anibal TROILO,Pedacito de cielo,Francisco Fiorentino,VALS,Enrique Francini y Héctor Stamponi,Homero Expósito,TROILO,
1942-09-18,Anibal TROILO,No te apures Carablanca,Francisco Fiorentino,TANGO,Roberto Garza,Carlos Bahr,TROILO,
1942-09-18,Anibal TROILO,Tristezas de la calle Corrientes,Francisco Fiorentino,TANGO,Domingo Federico,Homero Expósito,TROILO,
1942-10-09,Anibal TROILO,Ficha de oro,Francisco Fiorentino,MILONGA,Carmelo Di Napoli,Enrique Dizeo,TROILO,
1942-10-09,Anibal TROILO,La maleva,,TANGO,Antonio Buglione,Mario Pardo,TROILO,
1942-10-22,Anibal TROILO,De pura cepa,,MILONGA,José Ceglie,Osvaldo Sosa Cordero,TROILO,
1942-10-22,Anibal TROILO,El chupete,,TANGO,Ricardo Gaudenzio,Antonio Polito,TROILO,
1942-10-30,Anibal TROILO,Gricel,Francisco Fiorentino,TANGO,Mariano Mores,José María Contursi,TROILO,
1942-12-14,Anibal TROILO,Barrio de Tango,Francisco Fiorentino,TANGO,Aníbal Troilo,Homero Manzi,TROILO,
1942-12-14,Anibal TROILO,Pa' que seguir,Francisco Fiorentino,TANGO,Francisco Fiorentino,Pedro Lloret,TROILO,
1942-12-14,Anibal TROILO,Por las calles de la vida,Francisco Fiorentino,TANGO,Enrique Cadícamo,Enrique Cadícamo,TROILO,
1942-12-29,Anibal TROILO,Buenos Aires,Francisco Fiorentino,TANGO,Manuel Jovés,Manuel Romero,TROILO,
1943-03-11,Anibal TROILO,Corazon no le hagas caso,Francisco Fiorentino,TANGO,Armando Pontier,Carlos Bahr,TROILO,
1943-03-11,Anibal TROILO,Margarita Gauthier,Francisco Fiorentino,TANGO,Joaquín Mora,Julio Jorge Nelson,TROILO,
1943-03-25,Anibal TROILO,Percal,Francisco Fiorentino,TANGO,Domingo Federico,Homero Expósito,TROILO,
1943-03-25,Anibal TROILO,Valsecito amigo,Francisco Fiorentino,VALS,Aníbal Troilo,José María Contursi,TROILO,
1943-04-05,Anibal TROILO,Cada vez que me recuerdes,Francisco Fiorentino,TANGO,Mariano Mores,José María Contursi,TROILO,
1943-04-05,Anibal TROILO,Tango y copas,Alberto Marino,TANGO,Héctor Artola,Carlos Bahr,TROILO,
1943-04-27,Anibal TROILO,Cuando tallan los recuerdos,Alberto Marino,TANGO,Rafael Rossi,Enrique Cadícamo,TROILO,
1943-04-27,Anibal TROILO,Soy del 90,Francisco Fiorentino,TANGO,Tito Ribero,Carlos Waiss,TROILO,
