DATE,ARTIST,TITLE,2nd ARTIST,STYLE,COMPOSER,AUTHOR,LAST_NAME_SEARCH,
1933-00-00,Adolfo CARABELLI,Madrileña castiza,Alberto Gómez,PASODOBLE,Adolfo Carabelli,Ginés Miralles,CARABELLI,
1933-00-00,Adolfo CARABELLI,Mar adentro (Navega mi velero),Carlos Lafuente,TANGO,Enrique Delfino,Mario Battistella,CARABELLI,
1933-00-00,Adolfo CARABELLI,Rinconcito para dos,Alberto Gómez,FOXTROT,?,?,CARABELLI,
1933-00-00,Adolfo CARABELLI,Romance,Charlo,TANGO,Federico Scorticati,Juan Sarcione,CARABELLI,
1933-03-14,Adolfo CARABELLI,Contigo siempre,Alberto Gómez,VALS,?,?,CARABELLI,
1933-03-15,Adolfo CARABELLI,Yo me quiero divorciar,Alberto Gómez,FOXTROT,?,?,CARABELLI,
1933-04-11,Adolfo CARABELLI,Mia,Carlos Lafuente,TANGO,Elvino Vardaro y Antonio Oscar Arona,Celedonio Flores,CARABELLI,
1933-05-04,Adolfo CARABELLI,Tomala con soda,Carlos Lafuente,TANGO,Enrique Delfino,Manuel Romero,CARABELLI,
1933-07-25,Adolfo CARABELLI,Cuatro palabras (2),Charlo,TANGO,Luis Rubistein,Luis Rubistein,CARABELLI,
1933-07-25,Adolfo CARABELLI,Juntito al jaguel,Charlo,RANCHERA,?,?,CARABELLI,
1933-09-12,Adolfo CARABELLI,Pa' que lagrimear,Carlos Lafuente,TANGO,Sebastián Piana,Carlos Goicoechea y Rogelio Cordone,CARABELLI,
1934-00-00,Adolfo CARABELLI,El mundo sigue al revés,Teófilo Ibáñez,TANGO,Rosa E. de Goñi,Rosa E. de Goñi,CARABELLI,
1934-04-25,Adolfo CARABELLI,Florida de 6 a 8,Fernando Díaz,FOXTROT,?,?,CARABELLI,
1934-05-07,Adolfo CARABELLI,Mi evocación,Luis Díaz,TANGO,Remo Piangiarelli y Antonio Benedicto,Antonio Benedicto,CARABELLI,
1935-04-17,Adolfo CARABELLI,Alegria de panderetas,Alberto Gómez,PASODOBLE,?,?,CARABELLI,
1943-07-23,Alfredo DE ANGELIS,Marioneta,Floreal Ruiz,TANGO,Juan José Guichandut,Armando Tagini,ANGELIS,
1943-07-23,Alfredo DE ANGELIS,Qué buena es,Julio Martel y Nestor Rodi,TANGO,?,?,ANGELIS,
1943-08-10,Alfredo DE ANGELIS,Buenos Aires de ayer,Julio Martel y Nestor Rodi,MILONGA,?,?,ANGELIS,
1943-08-10,Alfredo DE ANGELIS,Dejame así,Floreal Ruiz,TANGO,Víctor Braña y Domingo Triguero,Oscar Rubens,ANGELIS,
1943-11-04,Alfredo DE ANGELIS,Como se muere de amor,Floreal Ruiz y Nestor Rodi,TANGO,Daniel Alvarez,Daniel Alvarez,ANGELIS,
1943-11-04,Alfredo DE ANGELIS,Pura maña,,TANGO,?,?,ANGELIS,
