"id","slug","title","description","channel_title","channel_id","video_count","imported","videos_id","user_id","created_at","updated_at"
62,"PLZj_Xxxg0RksnMAzxoTok7myFO3Sl1al6","TC Tango: All tango related performances, events in reverse chronological order","","TC Tango","UCPSEBKNWfeUQR22qpdYAIgg","243",TRUE,,,"2021-01-25 22:07:13.118571","2021-01-25 22:36:08.633284"
63,"PLoRZBiYVRb-Pg-WGcrUZX0QnjxCQt3Q1i","Tango Performance","","Ichioku","UCBr_o43Um84TfbO-bDqvUUQ","124",TRUE,,,"2021-01-25 22:07:13.136312","2021-01-25 22:42:44.341405"
64,"PLksJC7vhxIsGBpRvN_IMP5iAiSC4qrOhO","Tango performances","","Wiktoria Dmuchowska","UCsknyPJcSLXipuZ7yoYqWrg","56",TRUE,,,"2021-01-25 22:07:13.143278","2021-01-25 22:42:57.076462"
65,"PL77A8AF7A2834C62B","Oblivion - Astor Piazzolla - Tango Dance","Oblivion anything","audimate","UClaLk-WyqyubBbzRvK3DGQg","31",TRUE,,,"2021-01-25 22:07:13.153834","2021-01-25 22:43:03.256496"
66,"PLZj_Xxxg0RktAXuJJi_4HEWY877m5nOLs","Brussels Tango Festival 2016","All my publications from BTF 2016: http://thomasconte.net/tango/lists/201604-brussels-tango-festival/","TC Tango","UCPSEBKNWfeUQR22qpdYAIgg","19",TRUE,,,"2021-01-25 22:07:13.161062","2021-01-25 22:36:37.202766"
67,"PLBAC01741B5F9063F","tango","","HolaHellus","UCXc7J03CDTdnvJigau2o1SQ","21",TRUE,,,"2021-01-25 22:07:13.168269","2021-01-25 22:43:07.364863"
68,"PLXe6WheFTGWotDQDwFsNjU7RxsHx7uZpV","Learn Tango","","alex a","UCvQBgIUwjLRUhVGKKt9hzBQ","26",TRUE,,,"2021-01-25 22:07:13.1762","2021-01-25 22:36:40.094656"
69,"PLSK-BnZ1je-eFK2CcWgjf93x8EU1Eoei3","Tango","","Julie Laplante","UCIuUIT5aC2E0K99mHsodA6Q","8",TRUE,,,"2021-01-25 22:07:13.184112","2021-01-25 22:43:09.563417"
70,"PLXm7aRWdrUKWCBR3NGcY8G2VDU5wjh3dX","Tango Archaval","","Sergey Chistyakov","UCU09aB79BsWNjrsedRFeWOg","14",TRUE,,,"2021-01-25 22:07:13.196472","2021-01-25 22:43:10.60677"
71,"PL3kNUWsdGzRISkpbpv9Hnjhzt0zIg7W1g","2016 Portland Tango Festival","","Portland Tango Festival","UC67MrBE7SDm_-6Lg3OWVqPg","12",TRUE,,,"2021-01-25 22:07:13.208521","2021-01-25 22:36:42.998443"
72,"PL51135D1A8CE1B1C0","TANGO BEST FOR LEARNING MILONGA","","donsharon","UCvbwvWg__MVs2kzBhUfODCg","25",TRUE,,,"2021-01-25 22:07:13.216288","2021-01-25 22:32:18.36689"
73,"PL155A80655A0058C9","Murat Erdemsel dancing Tango","Their improvised performances. see more about them at, http://MuratErdemsel.com","erdemsel1975","UCXB4G8j5M9UjUTtPPn-YC6Q","129",TRUE,,,"2021-01-25 22:07:13.224158","2021-01-25 22:36:44.468882"
74,"PLKIZqx53obPV6hmirn1S4XDBTiD06B3E6","Tango","","Pawel Siarka","UCuPIDuNWm9XGZ4LcvjsaEaw","22",TRUE,,,"2021-01-25 22:07:13.233111","2021-01-25 22:43:12.541448"
75,"PLPlLDu-QYqFjAoyS5g_pYr57F7YOq9ltb","Tango Dance - Milonga","","Stu Johnstone","UCLDmmtEzmyEEDt3CspUIR3A","7",TRUE,,,"2021-01-25 22:07:13.244386","2021-01-25 22:37:02.82876"
76,"PLUze0dZA5FOf04DTmfjyjP7bos08ajTLT","TANGO!","","Marius Dumitrascu","UCcsidG8buWTvbDdA9SugWDQ","30",TRUE,,,"2021-01-25 22:07:13.252623","2021-01-25 22:43:14.849224"
77,"PLAA00EDC4F8A34612","Argentine Tango","Argentine tango performances that I like.","SpitfireDance","UCQURA2ZVGUCfOGxBfXKz08w","23",TRUE,,,"2021-01-25 22:07:13.263577","2021-01-25 22:38:17.256414"
78,"PLOHdnnoInt-ScLioxHTL5eExa7xrkCzFa","Toronto Tango Festival 2015","","Rhythm & Motion Dance Studio","UC4Ky9bsvxDG6Ben724ATPSA","11",TRUE,,,"2021-01-25 22:07:13.27368","2021-01-25 22:43:17.768381"
79,"PLSIelSkLofu2irFxiOgdjLs3U_iyLcXwO","SICILY TANGO WINTER 2018","","R&G Tango","UCyOdSso9zFczMAxFwM4T4Fg","6",TRUE,,,"2021-01-25 22:07:13.282632","2021-01-25 22:38:19.724515"
80,"PL9DC2BB74943081EB","Tango","My fav. tango videos","Daniel Chan","UCaH9AV8xi5h1xvAl7JQ4jbw","9",TRUE,,,"2021-01-25 22:07:13.296772","2021-01-25 22:43:19.187575"
81,"PL4CAE340B4ED189DA","tango","tango","plumbottom","UCDC3PhwW6nnrRtUxrOb11cQ","10",TRUE,,,"2021-01-25 22:07:13.308684","2021-01-25 22:43:20.186543"
82,"PL5E4B284A02DE4F35","Tango Difficult","","Traian Ionescu","UC93INJAKP2ymJ0C4T0BgWWQ","7",TRUE,,,"2021-01-25 22:07:13.32412","2021-01-25 22:38:20.95247"
83,"PLoaewfSck5D-Db6eQGZHkiksFg5mPfroj","Tango Performance MF teachers","","fujimaytan","UCC4EoAc6GDtqAGgbh8ErMnQ","49",TRUE,,,"2021-01-25 22:07:13.338855","2021-01-25 22:43:21.813101"
