Genre,Title,Artist
Tango,A la gran muñeca,Rodolfo Biagi
Tango,La huella,Rodolfo Biagi
Vals,La loca de amor,Rodolfo Biagi
Tango,A la luz del candil,Rodolfo Biagi
Tango,La maleva,Rodolfo Biagi
Tango,La marca de fuego,Rodolfo Biagi
Tango,La marcha nupcial,Rodolfo Biagi
Tango,La novena,Rodolfo Biagi
Tango,La tablada,Rodolfo Biagi
Tango,La viruta,Rodolfo Biagi
Vals,Lágrimas y sonrisas,Rodolfo Biagi
Vals,Lejos de ti,Rodolfo Biagi
Tango,Levanta tu corazón,Rodolfo Biagi
Tango,Lisón,Rodolfo Biagi
Tango,Lucienne,Rodolfo Biagi
Tango,Magdala,Rodolfo Biagi
Vals,Mañana por la mañana,Rodolfo Biagi
Tango,Marcas,Rodolfo Biagi
Vals,Marcheta,Rodolfo Biagi
Tango,Margot,Rodolfo Biagi
Tango,Mariposita,Rodolfo Biagi
Tango,Marol,Rodolfo Biagi
Tango,Matala,Rodolfo Biagi
Tango,Me quedé mirándola,Rodolfo Biagi
Tango,Mi alondra,Rodolfo Biagi
Tango,A mí no me interesa,Rodolfo Biagi
Tango,Mi pecadora,Rodolfo Biagi
Tango,Mi vida en tus manos,Rodolfo Biagi
Tango,Mientras duerme la ciudad,Rodolfo Biagi
Tango,Milonga con variación,Rodolfo Biagi
Tango,Mis amores de ayer,Rodolfo Biagi
Tango,Misa de once,Rodolfo Biagi
Tango,Nada,Rodolfo Biagi
Tango,No le digas que la quiero,Rodolfo Biagi
Tango,No me digas que no,Rodolfo Biagi
Tango,No puede ser,Rodolfo Biagi
Tango,Oh mama mía,Rodolfo Biagi
Tango,Organito de la tarde,Rodolfo Biagi
Tango,Pájaro ciego,Rodolfo Biagi
Vals,Pájaro herido,Rodolfo Biagi
Tango,Palermo,Rodolfo Biagi
Vals,Paloma,Rodolfo Biagi
Milonga,Picante,Rodolfo Biagi
Tango,Pinta orillera,Rodolfo Biagi
Tango,Por algo será,Rodolfo Biagi
Tango,Por eso grito,Rodolfo Biagi
Milonga,Por la güella,Rodolfo Biagi
Tango,Por tener un corazón,Rodolfo Biagi
Vals,Por un beso de amor,Rodolfo Biagi
Vals,Prisionero,Rodolfo Biagi
Tango,Pudo ser una vida,Rodolfo Biagi
Tango,Pueblito de provincia,Rodolfo Biagi
Tango,Pura clase,Rodolfo Biagi
Tango,Queja indiana,Rodolfo Biagi
Tango,Quejas de bandoneón,Rodolfo Biagi
Tango,Quiero verte una vez más,Rodolfo Biagi
Tango,Racing Club,Rodolfo Biagi
Tango,Re fa si,Rodolfo Biagi
Tango,Romántico bulincito,Rodolfo Biagi
Tango,Sangre de mi sangre,Rodolfo Biagi
Tango,Santa milonguita,Rodolfo Biagi
Tango,Seamos amigos,Rodolfo Biagi
Tango,Señor señor,Rodolfo Biagi
Tango,Sentimiento gaucho,Rodolfo Biagi
Tango,Será lo mejor,Rodolfo Biagi
Vals,Serenata campera,Rodolfo Biagi
Tango,Si de mí te has olvidado,Rodolfo Biagi
Tango,Si la llegaran a ver,Rodolfo Biagi
Tango,Si no estuvieras tú,Rodolfo Biagi
Tango,Sin palabras,Rodolfo Biagi
Tango,Solamente Dios y yo,Rodolfo Biagi
Tango,"Soledad, la de Barracas",Rodolfo Biagi
Tango,Son cosas del bandoneón,Rodolfo Biagi
Tango,Soñemos,Rodolfo Biagi
Tango,Sosiego en la noche,Rodolfo Biagi
Milonga,Soy del noventa,Rodolfo Biagi
Vals,Sueño de juventud,Rodolfo Biagi
Tango,A suerte y verdad,Rodolfo Biagi
Tango,Te burlas tristeza,Rodolfo Biagi
Tango,Te odio,Rodolfo Biagi
Tango,Todo es amor,Rodolfo Biagi
Tango,Todo te nombra,Rodolfo Biagi
Tango,Trenzas,Rodolfo Biagi
Tango,Tres horas,Rodolfo Biagi
Tango,Triste comedia,Rodolfo Biagi
Tango,Tu voz,Rodolfo Biagi
Tango,Tus labios me dirán,Rodolfo Biagi
Tango,Una pena,Rodolfo Biagi
Tango,Unión Cívica,Rodolfo Biagi
Tango,Uno,Rodolfo Biagi
Tango,Venus,Rodolfo Biagi
Vals,Viejo portón,Rodolfo Biagi
Tango,Viento malo,Rodolfo Biagi
Tango,Y a mi qué?,Rodolfo Biagi
Tango,Y dicen que no te quiero,Rodolfo Biagi
Tango,Y no te voy a llorar,Rodolfo Biagi
Tango,Y volvemos a querernos,Rodolfo Biagi
Tango,Ya lo ves,Rodolfo Biagi
Tango,Yo también,Rodolfo Biagi
Tango,Yo tengo un puñal,Rodolfo Biagi
Tango,Yuyo verde,Rodolfo Biagi
Tango,Zaraza,Rodolfo Biagi
Tango,Al cerrar los ojos,Manuel Buzón
Tango,Al verla pasar,Manuel Buzón
Tango,Alice,Manuel Buzón
Tango,Canto al tango,Manuel Buzón
Tango,Compadre y buen mozo,Manuel Buzón
Milonga,Ficha de oro,Manuel Buzón
Tango,Fueye,Manuel Buzón
Milonga,Jazmín Simón,Manuel Buzón
Milonga,Mano brava,Manuel Buzón
Tango,Mediodía,Manuel Buzón
Milonga,Mi vida fué una milonga,Manuel Buzón
Vals,Miedo,Manuel Buzón
Milonga,Música de organito,Manuel Buzón
Tango,Nunca pensé,Manuel Buzón
Vals,Pichón enamorado,Manuel Buzón
Tango,Qué has hecho de mi cariño? | Royal Pigall,Manuel Buzón
Tango,Adiós,Miguel Caló
Tango,Adiós Pampa mía,Miguel Caló
Tango,Al compás del corazón,Miguel Caló
Vals,Allá en el cielo,Miguel Caló
Tango,Alma de bohemio,Miguel Caló
Tango,Alma mía,Miguel Caló
Vals,Amarguras,Miguel Caló
Tango,Amor y tango,Miguel Caló
Tango,Antes del adiós,Miguel Caló
Tango,Aquel lugar querido,Miguel Caló
Tango,Aquel viejo tango,Miguel Caló
Tango,Así era ella muchachos,Miguel Caló
Tango,Así se baila hoy,Miguel Caló
Vals,Bailar soñar,Miguel Caló
Vals,Bajo un cielo de estrellas,Miguel Caló
Tango,Barrio de tango,Miguel Caló
Tango,Bebiendo contigo,Miguel Caló
Milonga,Bien criolla y bien porteña,Miguel Caló
Tango,Boca Juniors,Miguel Caló
Tango,Bohardilla,Miguel Caló
Tango,Brazo de oro,Miguel Caló
Tango,Caballo de calesita,Miguel Caló
Tango,Cada día te extraño más,Miguel Caló
Tango,Cafetín de Buenos Aires,Miguel Caló
Tango,Cambalache,Miguel Caló
Tango,Caminito,Miguel Caló
Tango,Canción de rango,Miguel Caló
Tango,Canción desesperada,Miguel Caló
Tango,Carriego,Miguel Caló
Tango,Charamusca,Miguel Caló
Tango,Che bandoneón,Miguel Caló
Tango,Cilicio,Miguel Caló
Milonga,Cimarrón de ausencia,Miguel Caló
Milonga,Cobrate y dame el vuelto,Miguel Caló
Tango,Cómo le digo a la vieja,Miguel Caló
Tango,Con personalidad,Miguel Caló
Tango,Corazón de papel,Miguel Caló
Tango,Corazón no le hagas caso,Miguel Caló
Tango,Corazón si la vieras,Miguel Caló
Tango,Corazón yo creo en vos,Miguel Caló
Tango,Cosas de tango,Miguel Caló
Tango,Cuando caigan las hojas,Miguel Caló
Tango,Cuando me entres a fallar,Miguel Caló
Tango,Cuando tallan los recuerdos,Miguel Caló
Tango,Cuatro compases,Miguel Caló
Tango,Cuento azul,Miguel Caló
Tango,De barro,Miguel Caló
Tango,De levita y con bastón,Miguel Caló
Tango,De seis a siete,Miguel Caló
Tango,Después,Miguel Caló
Tango,Disco rayado,Miguel Caló
Tango,Domingo a la noche,Miguel Caló
Tango,Donde Estas Corazon,Miguel Caló
Tango,Dos fracasos,Miguel Caló
Tango,Dulce amargura,Miguel Caló
Tango,Echale sal,Miguel Caló
Tango,El amanecer,Miguel Caló
Tango,El bazar de los juguetes,Miguel Caló
Tango,El chamuyo,Miguel Caló
Tango,El choclo,Miguel Caló
Tango,El chupete,Miguel Caló
Tango,El cuatrero,Miguel Caló
Milonga,El desafío,Miguel Caló
Milonga,El divorcio,Miguel Caló
Vals,El mismo dolor,Miguel Caló
Tango,El mundo de los dos,Miguel Caló
Tango,El penado catorce,Miguel Caló
Tango,El pillete,Miguel Caló
Vals,El plebeyo,Miguel Caló
Tango,El último café,Miguel Caló
Vals,El vals soñador,Miguel Caló
Tango,Elegante papirusa,Miguel Caló
Tango,En fa menor,Miguel Caló
Tango,En la calle,Miguel Caló
