DATE,ARTIST,TITLE,2nd ARTIST,STYLE,COMPOSER,AUTHOR,LAST_NAME_SEARCH,,,,
1933-00-00,Adolfo CARABELLI,La gaucha Petrona (Petiza y panzona),Carlos Lafuente,VALS,Enrique Delfino,Mario Rada,CARABELLI,,,,
1933-00-00,Adolfo CARABELLI,Madrileña castiza,Alberto Gómez,PASODOBLE,Adolfo Carabelli,Ginés Miralles,CARABELLI,,,,
1933-00-00,Adolfo CARABELLI,Mar adentro (Navega mi velero),Carlos Lafuente,TANGO,Enrique Delfino,Mario Battistella,CARABELLI,,,,
1933-00-00,Adolfo CARABELLI,Rinconcito para dos,Alberto Gómez,FOXTROT,?,?,CARABELLI,,,,
1933-00-00,Adolfo CARABELLI,Romance,Charlo,TANGO,Federico Scorticati,Juan Sarcione,CARABELLI,,,,
3/14/33,Adolfo CARABELLI,Contigo siempre,Alberto Gómez,VALS,?,?,CARABELLI,,,,
3/15/33,Adolfo CARABELLI,Yo me quiero divorciar,Alberto Gómez,FOXTROT,?,?,CARABELLI,,,,
4/11/33,Adolfo CARABELLI,Mia,Carlos Lafuente,TANGO,Elvino Vardaro y Antonio Oscar Arona,Celedonio Flores,CARABELLI,,,,
5/4/33,Adolfo CARABELLI,Tomala con soda,Carlos Lafuente,TANGO,Enrique Delfino,Manuel Romero,CARABELLI,,,,
7/25/33,Adolfo CARABELLI,Cuatro palabras (2),Charlo,TANGO,Luis Rubistein,Luis Rubistein,CARABELLI,,,,
7/25/33,Adolfo CARABELLI,Juntito al jaguel,Charlo,RANCHERA,?,?,CARABELLI,,,,
9/12/33,Adolfo CARABELLI,Pa' que lagrimear,Carlos Lafuente,TANGO,Sebastián Piana,Carlos Goicoechea y Rogelio Cordone,CARABELLI,,,,
1934-00-00,Adolfo CARABELLI,El mundo sigue al revés,Teófilo Ibáñez,TANGO,Rosa E. de Goñi,Rosa E. de Goñi,CARABELLI,,,,
4/25/34,Adolfo CARABELLI,Florida de 6 a 8,Fernando Díaz,FOXTROT,?,?,CARABELLI,,,,
5/7/34,Adolfo CARABELLI,Mi evocación,Luis Díaz,TANGO,Remo Piangiarelli y Antonio Benedicto,Antonio Benedicto,CARABELLI,,,,
4/17/35,Adolfo CARABELLI,Alegria de panderetas,Alberto Gómez,PASODOBLE,?,?,CARABELLI,,,,
7/23/43,Alfredo DE ANGELIS,Marioneta,Floreal Ruiz,TANGO,Juan José Guichandut,Armando Tagini,ANGELIS,,,,
7/23/43,Alfredo DE ANGELIS,Qué buena es,Julio Martel y Nestor Rodi,TANGO,?,?,ANGELIS,,,,
8/10/43,Alfredo DE ANGELIS,Buenos Aires de ayer,Julio Martel y Nestor Rodi,MILONGA,?,?,ANGELIS,,,,
8/10/43,Alfredo DE ANGELIS,Dejame así,Floreal Ruiz,TANGO,Víctor Braña y Domingo Triguero,Oscar Rubens,ANGELIS,,,,
11/4/43,Alfredo DE ANGELIS,Como se muere de amor,Floreal Ruiz y Nestor Rodi,TANGO,Daniel Alvarez,Daniel Alvarez,ANGELIS,,,,
11/4/43,Alfredo DE ANGELIS,Pura maña,,TANGO,?,?,ANGELIS,,,,
2/29/44,Alfredo DE ANGELIS,Bajo el cono azul,Floreal Ruiz y Nestor Rodi,TANGO,Alfredo De Angelis,Carmelo Volpe,ANGELIS,,,,
2/29/44,Alfredo DE ANGELIS,Ya sé que siguen hablando,Julio Martel,TANGO,Héctor Palacios,Iván Diez,ANGELIS,,,,
4/28/44,Alfredo DE ANGELIS,Cero al as,Floreal Ruiz,TANGO,Arturo Gallucci,Francisco Bohigas,ANGELIS,,,,
4/28/44,Alfredo DE ANGELIS,Mi novia de ayer,Floreal Ruiz,VALS,Arturo Gallucci,José Barreiros Bazán,ANGELIS,,,,
6/3/44,Alfredo DE ANGELIS,La cumparsita,Nestor Rodi,TANGO,Gerardo Matos Rodriguez,Pascual Contursi y Enrique Maroni,ANGELIS,,,,
6/3/44,Alfredo DE ANGELIS,Madre,Floreal Ruiz,TANGO,Francisco Pracánico,Verminio Servetto,ANGELIS,,,,
7/31/44,Alfredo DE ANGELIS,De igual a igual,Julio Martel,TANGO,Rodolfo Sciammarella,Rodolfo Sciammarella,ANGELIS,,,,
7/31/44,Alfredo DE ANGELIS,La guitarrera,Floreal Ruiz,MILONGA,Francisco Brancatti,Rafael Dadino,ANGELIS,,,,
8/29/44,Alfredo DE ANGELIS,El tropero del amor,Carlos Dante,TANGO,Teófilo Lespés,Yaraví,ANGELIS,,,,
8/29/44,Alfredo DE ANGELIS,Soñar y nada mas,Carlos Dante y Julio Martel,VALS,Francisco Canaro,Ivo Pelay,ANGELIS,,,,
10/10/44,Alfredo DE ANGELIS,Campanita,Julio Martel,TANGO,Juan Polito,Salvador Polito,ANGELIS,,,,
10/10/44,Alfredo DE ANGELIS,Melenita de oro,Carlos Dante,TANGO,Carlos Vicente Geroni Flores,Samuel Linnig,ANGELIS,,,,
11/23/44,Alfredo DE ANGELIS,Cruz de palo,Carlos Dante,TANGO,Guillermo Barbieri,Enrique Cadícamo,ANGELIS,,,,
11/23/44,Alfredo DE ANGELIS,Parece un cuento,Julio Martel,TANGO,Lalo Etchegoncelay,José Rótulo,ANGELIS,,,,
11/27/44,Alfredo DE ANGELIS,El vals de nochebuena,Carlos Dante,VALS,?,?,ANGELIS,,,,
12/18/44,Alfredo DE ANGELIS,Va llegando gente al baile,Julio Martel,TANGO,Félix Lipesker,Lito Bayardo,ANGELIS,,,,
1/9/45,Alfredo DE ANGELIS,El pial,,TANGO,?,?,ANGELIS,,,,
1/9/45,Alfredo DE ANGELIS,La mañana,Julio Martel,MILONGA,Miguel Bucino,Miguel Bucino,ANGELIS,,,,
1/9/45,Alfredo DE ANGELIS,Nieve de amor,Carlos Dante,TANGO,Alberto Talián y Eduardo Talián,Horacio Sanguinetti,ANGELIS,,,,
1/9/45,Alfredo DE ANGELIS,No me importa su amor,Carlos Dante,TANGO,José Dames,Enrique Cadícamo,ANGELIS,,,,
3/26/45,Alfredo DE ANGELIS,Cuando tú me quieras,Carlos Dante,TANGO,Julio Pollero y Agesilao Ferrazzano,Francisco Bohigas,ANGELIS,,,,
